MEAN_PM25_AVG,GEOID,Median_age,Median_age___Male,Median_age___Female,Estimate__Total,area1,percent1,area4,percent4,MEAN_gridcode,,Less_than__10_000,F_10_000_to__14_999,F_15_000_to__19_999,F_20_000_to__24_999,F_25_000_to__29_999,F_30_000_to__34_999,F_35_000_to__39_999,F_40_000_to__44_999,F_45_000_to__49_999,F_50_000_to__59_999,F_60_000_to__74_999,F_75_000_to__99_999,F_100_000_to__124_999,F_125_000_to__149_999,F_150_000_to__199_999,F_200_000_or_more,No_schooling_completed,Nursery_school,Kindergarten,F1st_grade,F2nd_grade,F3rd_grade,F4th_grade,F5th_grade,F6th_grade,F7th_grade,F8th_grade,F9th_grade,F10th_grade,F11th_grade,F12th_grade__no_diploma,Regular_high_school_diploma,GED_or_alternative_credential,Some_college__less_than_1_year,Some_college__1_or_more_years__no_degree,Associate_s_degree,Bachelor_s_degree,Master_s_degree,Professional_school_degree,Doctorate_degree,Hispanic_or_Latino,White_alone,Black_or_African_American_alone,American_Indian_and_Alaska_Native_alone,Asian_alone,Native_Hawaiian_and_Other_Pacific_Islander_alone,Other
7.516025833,261635003004.00,34,40.2,33.3,383,125536.3163,51.29088545,5471.333537,2.235445088,3231064.037,,0.117647059,0.037433155,0.13368984,0.080213904,0.160427807,0,0.106951872,0.128342246,0.096256684,0.037433155,0.053475936,0,0,0,0,0.048128342,0.030888031,0,0,0,0,0,0,0,0,0,0.065637066,0,0,0,0,0.447876448,0.065637066,0.034749035,0.235521236,0.034749035,0.019305019,0.065637066,0,0,0.01305483,0.15926893,0.84073107,0,0,0,0
7.516025833,261635004001.00,30.1,31.7,29.8,200,20470.83044,15.9716983,,,4851877.882,,0.139534884,0,0,0.127906977,0,0.325581395,0.127906977,0,0.162790698,0.11627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016806723,0,0.369747899,0.159663866,0.18487395,0.268907563,0,0,0,0,0,0.03,0.105,0.785,0,0,0,0.22
7.516025833,261635004002.00,37.5,45,37,146,38707.30227,27.18838641,,,2573429.615,,0.12962963,0,0.092592593,0,0,0.203703704,0,0,0,0.444444444,0,0.12962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.528301887,0.339622642,0,0,0.066037736,0.066037736,0,0,0,0,0,1,0,0,0,0
7.516025833,261635004003.00,29.7,31.8,29.4,383,111145.7079,34.77288274,6254.43993,1.956754879,1448908.2,,0.109375,0.1484375,0.203125,0.1171875,0,0.0546875,0.0625,0,0,0.09375,0.1484375,0.0625,0,0,0,0,0.027559055,0,0,0,0,0,0,0.011811024,0,0,0.019685039,0,0.011811024,0,0.102362205,0.354330709,0.106299213,0.05511811,0.181102362,0.07480315,0.05511811,0,0,0,0,0,1,0,0,0,0
7.516025833,261635004004.00,32,36.2,30.6,323,129779.5045,32.63167775,9977.593886,2.508759991,3809695.838,,0.140186916,0.037383178,0.093457944,0.186915888,0,0.14953271,0.177570093,0,0,0,0.093457944,0.121495327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071038251,0,0.153005464,0.508196721,0.103825137,0,0.038251366,0.098360656,0.005464481,0.021857923,0,0,0,0.018575851,0.981424149,0,0,0,0
7.516025833,261635005001.00,30.3,30.2,30.5,672,62289.08854,21.23391382,899.9995852,0.306803552,4213960.923,,0.041322314,0,0.020661157,0,0,0.111570248,0.074380165,0.066115702,0.144628099,0.305785124,0.20661157,0.016528926,0,0,0,0.012396694,0,0,0,0,0,0,0,0,0,0,0,0,0.009756098,0,0.026829268,0.224390244,0,0.156097561,0.231707317,0.236585366,0.075609756,0.031707317,0.007317073,0,0.010416667,0.016369048,0.983630952,0,0,0,0
7.516025833,261635005002.00,24.1,23.1,24.8,280,80833.53618,49.98696628,900.0001413,0.556554604,1535952,,0.147727273,0,0.113636364,0,0,0.045454545,0.363636364,0.193181818,0,0.136363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045045045,0.45045045,0.126126126,0,0.342342342,0.036036036,0,0,0,0,0,0,1,0,0,0,0
7.516025833,261635005003.00,28,27.2,36.2,217,81111.72279,45.30085419,900.0008099,0.502649975,1754559.333,,0.148514851,0.02970297,0,0.04950495,0.099009901,0.118811881,0.346534653,0,0.089108911,0,0.118811881,0,0,0,0,0,0,0,0,0,0,0,0,0.032258065,0,0,0,0,0,0.038709677,0.096774194,0.251612903,0,0.141935484,0.329032258,0.109677419,0,0,0,0,0,0,1,0,0,0,0
7.516025833,261635005004.00,58.4,45.9,59.7,120,94316.92631,52.62709829,5976.349881,3.334692561,1012592.067,,0.08,0,0.133333333,0,0.053333333,0.253333333,0,0.306666667,0,0,0,0.173333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291666667,0,0.183333333,0.35,0.075,0.1,0,0,0,0,0.133333333,0.866666667,0,0,0,0
7.516025833,261635006001.00,30.2,32.2,28.7,918,122607.9761,31.82515459,8394.83752,2.179034434,5366312.447,,0.019662921,0.056179775,0,0.019662921,0.092696629,0.078651685,0.073033708,0.008426966,0,0.221910112,0.258426966,0.143258427,0.028089888,0,0,0,0.023622047,0,0,0,0,0,0,0,0,0,0,0.023622047,0.036220472,0.051968504,0,0.137007874,0.162204724,0.077165354,0.129133858,0.22992126,0.116535433,0.012598425,0,0,0,0,1,0,0,0,0
