Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races",GEO_ID
540,0,533,0,0,0,7,0,0,0,1500000US261635043001
745,30,715,0,0,0,0,0,0,0,1500000US261635043002
782,46,736,0,0,0,0,0,0,0,1500000US261635043003
534,0,531,3,0,0,0,0,0,0,1500000US261635044001
427,23,398,6,0,0,0,0,0,0,1500000US261635044002
606,0,606,0,0,0,0,0,0,0,1500000US261635044003
622,19,603,0,0,0,0,0,0,0,1500000US261635047001
695,0,695,0,0,0,0,0,0,0,1500000US261635047002
397,0,397,0,0,0,0,0,0,0,1500000US261635047003
210,0,210,0,0,0,0,0,0,0,1500000US261635048001
381,0,381,0,0,0,0,0,0,0,1500000US261635048002
520,9,467,0,0,0,44,0,0,0,1500000US261635049001
695,31,576,0,0,0,0,88,0,88,1500000US261635049002
1433,14,1356,0,0,0,0,63,0,63,1500000US261635049003
838,6,832,0,0,0,0,0,0,0,1500000US261635049004
579,12,561,0,0,0,0,6,0,6,1500000US261635050001
216,0,216,0,0,0,0,0,0,0,1500000US261635050002
1683,57,1626,0,0,0,0,0,0,0,1500000US261635051001
658,38,620,0,0,0,0,0,0,0,1500000US261635051002
755,137,604,0,0,0,14,0,0,0,1500000US261635051003
120,0,120,0,0,0,0,0,0,0,1500000US261635051004
520,132,388,0,0,0,0,0,0,0,1500000US261635051005
977,4,963,0,0,0,0,10,0,10,1500000US261635052001
434,18,411,5,0,0,0,0,0,0,1500000US261635052002
368,76,272,0,0,20,0,0,0,0,1500000US261635052003
1182,55,1127,0,0,0,0,0,0,0,1500000US261635052004
994,0,946,0,0,0,48,0,0,0,1500000US261635054001
430,70,343,16,1,0,0,0,0,0,1500000US261635054002
339,49,259,0,0,0,0,31,0,31,1500000US261635054003
649,40,609,0,0,0,0,0,0,0,1500000US261635054004
667,44,593,13,12,0,0,5,5,0,1500000US261635055001
495,8,487,0,0,0,0,0,0,0,1500000US261635055002
1230,68,1162,0,0,0,0,0,0,0,1500000US261635061001
784,62,670,25,13,0,0,14,0,14,1500000US261635061002
1233,12,1221,0,0,0,0,0,0,0,1500000US261635062001
741,51,685,0,0,0,0,5,0,5,1500000US261635062002
477,5,472,0,0,0,0,0,0,0,1500000US261635063001
570,36,522,0,0,0,12,0,0,0,1500000US261635063002
745,13,714,0,0,0,0,18,0,18,1500000US261635063003
376,13,363,0,0,0,0,0,0,0,1500000US261635064001
514,25,468,0,0,0,0,21,0,21,1500000US261635064002
1125,502,562,5,4,0,0,52,12,40,1500000US261635064003
510,0,510,0,0,0,0,0,0,0,1500000US261635065001
806,0,806,0,0,0,0,0,0,0,1500000US261635065002
825,18,807,0,0,0,0,0,0,0,1500000US261635065003
682,13,669,0,0,0,0,0,0,0,1500000US261635066001
1317,90,1117,0,59,0,51,0,0,0,1500000US261635066002
284,3,281,0,0,0,0,0,0,0,1500000US261635066003
1140,9,1131,0,0,0,0,0,0,0,1500000US261635066004
1066,55,1011,0,0,0,0,0,0,0,1500000US261635067001
941,86,855,0,0,0,0,0,0,0,1500000US261635068001
885,10,875,0,0,0,0,0,0,0,1500000US261635068002
1721,33,1588,0,0,0,17,83,0,83,1500000US261635068003
343,0,343,0,0,0,0,0,0,0,1500000US261635068004
773,0,773,0,0,0,0,0,0,0,1500000US261635069001
728,39,652,0,0,0,0,37,0,37,1500000US261635069002
519,0,519,0,0,0,0,0,0,0,1500000US261635069003
760,0,743,0,0,0,0,17,0,17,1500000US261635069004
791,38,730,0,0,0,23,0,0,0,1500000US261635069005
1468,44,1410,0,0,0,0,14,0,14,1500000US261635070001
844,39,762,0,0,0,0,43,0,43,1500000US261635070002
644,0,644,0,0,0,0,0,0,0,1500000US261635070003
211,10,172,0,0,0,0,29,0,29,1500000US261635071001
1046,2,1044,0,0,0,0,0,0,0,1500000US261635071002
310,1,275,34,0,0,0,0,0,0,1500000US261635071003
515,0,515,0,0,0,0,0,0,0,1500000US261635071004
442,0,437,5,0,0,0,0,0,0,1500000US261635072001
649,23,546,0,0,0,0,80,0,80,1500000US261635072002
1066,14,1052,0,0,0,0,0,0,0,1500000US261635073001
405,0,405,0,0,0,0,0,0,0,1500000US261635073002
471,10,436,0,0,0,0,25,0,25,1500000US261635073003
408,21,316,33,0,0,34,4,0,4,1500000US261635074001
963,0,963,0,0,0,0,0,0,0,1500000US261635074002
484,0,484,0,0,0,0,0,0,0,1500000US261635074003
305,0,305,0,0,0,0,0,0,0,1500000US261635074004
799,34,755,10,0,0,0,0,0,0,1500000US261635075001
844,23,821,0,0,0,0,0,0,0,1500000US261635075002
226,53,173,0,0,0,0,0,0,0,1500000US261635075003
389,11,378,0,0,0,0,0,0,0,1500000US261635078001
67,1,62,1,0,0,0,3,0,3,1500000US261635078002
215,86,129,0,0,0,0,0,0,0,1500000US261635079001
131,12,116,0,0,0,0,3,0,3,1500000US261635079002
611,53,544,0,0,0,0,14,0,14,1500000US261635079003
145,6,127,0,0,0,0,12,0,12,1500000US261635079004
289,21,259,0,0,0,0,9,0,9,1500000US261635080001
984,14,941,0,0,0,8,21,0,21,1500000US261635080002
279,80,199,0,0,0,0,0,0,0,1500000US261635081001
213,7,206,0,0,0,0,0,0,0,1500000US261635081002
246,34,157,0,0,0,0,55,0,55,1500000US261635081003
274,23,251,0,0,0,0,0,0,0,1500000US261635081004
240,109,131,0,0,0,0,0,0,0,1500000US261635081005
183,0,183,0,0,0,0,0,0,0,1500000US261635104001
93,0,93,0,0,0,0,0,0,0,1500000US261635104002
238,0,238,0,0,0,0,0,0,0,1500000US261635104003
135,0,135,0,0,0,0,0,0,0,1500000US261635105001
1854,137,242,0,1475,0,0,0,0,0,1500000US261635105002
199,0,104,0,95,0,0,0,0,0,1500000US261635105003
2069,184,72,13,1791,0,0,9,0,9,1500000US261635105004
999,267,706,0,0,0,9,17,0,17,1500000US261635106001
2285,1181,29,0,1008,0,0,67,67,0,1500000US261635106002
2790,830,505,0,1422,0,0,33,0,33,1500000US261635106003
633,219,414,0,0,0,0,0,0,0,1500000US261635107001
1373,1123,44,0,4,0,77,125,0,125,1500000US261635107002
164,0,164,0,0,0,0,0,0,0,1500000US261635110001
211,18,193,0,0,0,0,0,0,0,1500000US261635110002
654,0,624,0,0,0,0,30,0,30,1500000US261635110003
533,54,433,0,13,0,18,15,0,15,1500000US261635110004
904,74,825,5,0,0,0,0,0,0,1500000US261635112001
300,4,294,2,0,0,0,0,0,0,1500000US261635112002
1538,1024,344,0,119,0,8,43,19,24,1500000US261635113001
491,102,389,0,0,0,0,0,0,0,1500000US261635113002
485,32,386,0,0,0,19,48,25,23,1500000US261635113003
496,171,325,0,0,0,0,0,0,0,1500000US261635114001
718,74,609,0,0,0,0,35,35,0,1500000US261635114002
289,4,117,93,0,0,20,55,0,55,1500000US261635114003
247,29,207,0,0,0,0,11,0,11,1500000US261635114004
614,91,493,0,0,0,9,21,0,21,1500000US261635114005
865,155,710,0,0,0,0,0,0,0,1500000US261635119001
504,196,308,0,0,0,0,0,0,0,1500000US261635119002
528,0,528,0,0,0,0,0,0,0,1500000US261635121001
679,7,672,0,0,0,0,0,0,0,1500000US261635121002
643,0,627,6,10,0,0,0,0,0,1500000US261635121003
470,34,436,0,0,0,0,0,0,0,1500000US261635121004
387,28,359,0,0,0,0,0,0,0,1500000US261635121005
849,0,849,0,0,0,0,0,0,0,1500000US261635122001
212,0,212,0,0,0,0,0,0,0,1500000US261635122002
844,0,844,0,0,0,0,0,0,0,1500000US261635123001
561,23,538,0,0,0,0,0,0,0,1500000US261635123002
385,17,368,0,0,0,0,0,0,0,1500000US261635124001
242,0,242,0,0,0,0,0,0,0,1500000US261635124002
470,5,465,0,0,0,0,0,0,0,1500000US261635124003
