Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races",GEO_ID
407,127,268,0,0,0,0,12,6,6,1500000US261635312002
1267,80,1145,5,0,0,0,37,0,37,1500000US261635312003
481,18,463,0,0,0,0,0,0,0,1500000US261635313001
563,19,499,0,0,0,0,45,0,45,1500000US261635313002
380,2,378,0,0,0,0,0,0,0,1500000US261635314001
826,42,775,9,0,0,0,0,0,0,1500000US261635314002
417,0,417,0,0,0,0,0,0,0,1500000US261635315001
938,0,913,0,0,0,0,25,0,25,1500000US261635315002
1197,36,1082,6,0,0,0,73,0,73,1500000US261635315003
163,0,163,0,0,0,0,0,0,0,1500000US261635315004
761,8,743,0,0,0,0,10,0,10,1500000US261635316001
1094,44,1013,0,0,0,0,37,0,37,1500000US261635316002
648,7,641,0,0,0,0,0,0,0,1500000US261635317001
905,1,887,0,17,0,0,0,0,0,1500000US261635317002
350,0,345,0,0,0,0,5,0,5,1500000US261635318001
477,17,460,0,0,0,0,0,0,0,1500000US261635318002
454,7,447,0,0,0,0,0,0,0,1500000US261635318003
178,15,144,0,0,0,13,6,0,6,1500000US261635319001
726,120,581,0,13,0,0,12,0,12,1500000US261635319002
322,31,291,0,0,0,0,0,0,0,1500000US261635322001
877,131,732,0,0,0,8,6,0,6,1500000US261635322002
727,216,414,0,54,0,16,27,0,27,1500000US261635323001
301,9,279,0,0,13,0,0,0,0,1500000US261635324001
613,49,537,0,0,0,0,27,7,20,1500000US261635324002
498,80,400,0,0,0,0,18,0,18,1500000US261635324003
641,24,592,0,25,0,0,0,0,0,1500000US261635326001
1086,155,834,12,0,0,28,57,7,50,1500000US261635326002
242,41,82,0,77,0,0,42,6,36,1500000US261635326003
413,0,413,0,0,0,0,0,0,0,1500000US261635327001
201,11,185,0,5,0,0,0,0,0,1500000US261635327002
713,56,648,0,0,0,0,9,0,9,1500000US261635330001
921,33,787,0,78,5,18,0,0,0,1500000US261635330002
634,17,611,0,0,0,0,6,0,6,1500000US261635331001
512,5,507,0,0,0,0,0,0,0,1500000US261635331002
281,0,281,0,0,0,0,0,0,0,1500000US261635331003
214,0,214,0,0,0,0,0,0,0,1500000US261635332001
295,21,227,0,0,0,0,47,0,47,1500000US261635332002
318,6,312,0,0,0,0,0,0,0,1500000US261635332003
100,8,75,0,0,0,0,17,0,17,1500000US261635333001
923,41,810,0,63,0,0,9,0,9,1500000US261635333002
439,0,439,0,0,0,0,0,0,0,1500000US261635334001
546,0,546,0,0,0,0,0,0,0,1500000US261635334002
162,0,162,0,0,0,0,0,0,0,1500000US261635334003
748,0,748,0,0,0,0,0,0,0,1500000US261635334004
276,0,276,0,0,0,0,0,0,0,1500000US261635334005
530,0,522,0,0,0,0,8,0,8,1500000US261635335001
665,0,665,0,0,0,0,0,0,0,1500000US261635335002
403,10,382,0,0,0,0,11,11,0,1500000US261635336001
438,40,373,0,0,0,0,25,0,25,1500000US261635336002
833,0,833,0,0,0,0,0,0,0,1500000US261635336003
709,39,601,0,0,0,15,54,0,54,1500000US261635337001
190,0,190,0,0,0,0,0,0,0,1500000US261635337002
1087,268,784,0,34,0,0,1,0,1,1500000US261635339001
410,55,355,0,0,0,0,0,0,0,1500000US261635339002
1302,566,628,0,64,0,0,44,0,44,1500000US261635339003
338,0,338,0,0,0,0,0,0,0,1500000US261635341001
533,0,485,0,12,0,0,36,0,36,1500000US261635341002
719,36,683,0,0,0,0,0,0,0,1500000US261635341003
883,0,883,0,0,0,0,0,0,0,1500000US261635342001
405,26,327,0,0,0,0,52,0,52,1500000US261635342002
775,72,703,0,0,0,0,0,0,0,1500000US261635342003
241,0,228,0,0,0,0,13,0,13,1500000US261635342004
1094,0,1094,0,0,0,0,0,0,0,1500000US261635342005
598,0,598,0,0,0,0,0,0,0,1500000US261635343001
879,48,754,0,29,0,41,7,0,7,1500000US261635343002
820,129,685,0,0,0,0,6,0,6,1500000US261635344001
898,55,824,19,0,0,0,0,0,0,1500000US261635344002
355,0,355,0,0,0,0,0,0,0,1500000US261635345001
328,0,328,0,0,0,0,0,0,0,1500000US261635345002
524,10,514,0,0,0,0,0,0,0,1500000US261635346001
329,42,287,0,0,0,0,0,0,0,1500000US261635346002
981,457,524,0,0,0,0,0,0,0,1500000US261635346003
793,0,793,0,0,0,0,0,0,0,1500000US261635347001
1117,0,889,228,0,0,0,0,0,0,1500000US261635347002
529,0,515,0,0,0,0,14,0,14,1500000US261635347003
984,0,984,0,0,0,0,0,0,0,1500000US261635347004
668,12,656,0,0,0,0,0,0,0,1500000US261635350001
788,153,517,0,0,0,107,11,0,11,1500000US261635350002
1285,0,1285,0,0,0,0,0,0,0,1500000US261635350003
543,0,543,0,0,0,0,0,0,0,1500000US261635351001
1194,0,1194,0,0,0,0,0,0,0,1500000US261635351002
566,52,466,0,0,0,0,48,0,48,1500000US261635352001
158,15,143,0,0,0,0,0,0,0,1500000US261635352002
715,0,715,0,0,0,0,0,0,0,1500000US261635352003
609,0,609,0,0,0,0,0,0,0,1500000US261635352004
820,0,820,0,0,0,0,0,0,0,1500000US261635353001
717,0,707,0,0,0,0,10,0,10,1500000US261635353002
326,9,307,0,0,0,0,10,10,0,1500000US261635353003
1194,0,1168,0,0,0,0,26,0,26,1500000US261635353004
1138,23,1071,0,0,0,0,44,0,44,1500000US261635353005
859,6,759,0,0,0,94,0,0,0,1500000US261635354001
576,36,444,0,0,0,90,6,0,6,1500000US261635354002
1241,0,1216,0,0,0,0,25,0,25,1500000US261635355001
961,234,727,0,0,0,0,0,0,0,1500000US261635355002
1198,88,928,0,0,0,182,0,0,0,1500000US261635355003
1920,63,1847,10,0,0,0,0,0,0,1500000US261635356001
739,70,613,56,0,0,0,0,0,0,1500000US261635356002
645,71,524,0,0,0,0,50,0,50,1500000US261635356003
1059,13,1046,0,0,0,0,0,0,0,1500000US261635356004
612,0,568,20,0,0,0,24,0,24,1500000US261635357001
510,36,452,0,0,0,0,22,0,22,1500000US261635357002
1036,0,1022,0,0,0,0,14,0,14,1500000US261635361001
891,41,850,0,0,0,0,0,0,0,1500000US261635361002
985,32,904,0,4,0,0,45,35,10,1500000US261635361003
488,0,488,0,0,0,0,0,0,0,1500000US261635361004
756,54,695,0,0,0,0,7,0,7,1500000US261635362001
1559,0,1494,0,0,0,0,65,0,65,1500000US261635362002
385,0,385,0,0,0,0,0,0,0,1500000US261635363001
281,0,270,0,0,0,0,11,0,11,1500000US261635363002
814,0,814,0,0,0,0,0,0,0,1500000US261635363003
584,0,534,0,0,0,0,50,0,50,1500000US261635363004
217,12,205,0,0,0,0,0,0,0,1500000US261635363005
464,8,443,0,13,0,0,0,0,0,1500000US261635363006
132,0,132,0,0,0,0,0,0,0,1500000US261635364001
560,0,560,0,0,0,0,0,0,0,1500000US261635364002
590,0,590,0,0,0,0,0,0,0,1500000US261635364003
992,18,974,0,0,0,0,0,0,0,1500000US261635364004
563,13,535,0,0,0,0,15,0,15,1500000US261635365001
397,14,315,0,36,0,0,32,0,32,1500000US261635365002
522,16,506,0,0,0,0,0,0,0,1500000US261635365003
856,49,735,0,0,0,0,72,0,72,1500000US261635365004
296,0,296,0,0,0,0,0,0,0,1500000US261635366001
643,0,643,0,0,0,0,0,0,0,1500000US261635366002
462,0,462,0,0,0,0,0,0,0,1500000US261635366003
689,13,653,10,0,0,13,0,0,0,1500000US261635366004
393,0,393,0,0,0,0,0,0,0,1500000US261635366005
462,0,424,0,33,0,0,5,0,5,1500000US261635367001
494,0,494,0,0,0,0,0,0,0,1500000US261635367002
1043,19,1004,20,0,0,0,0,0,0,1500000US261635368001
760,28,716,14,0,0,0,2,0,2,1500000US261635368002
643,0,643,0,0,0,0,0,0,0,1500000US261635369001
900,0,900,0,0,0,0,0,0,0,1500000US261635369002
1481,12,1345,0,0,0,0,124,92,32,1500000US261635369003
211,22,186,0,0,0,0,3,0,3,1500000US261635369004
1352,6,1324,0,0,0,0,22,0,22,1500000US261635370001
785,28,757,0,0,0,0,0,0,0,1500000US261635370002
1262,1,1250,0,0,0,0,11,0,11,1500000US261635370003
239,7,232,0,0,0,0,0,0,0,1500000US261635371001
618,16,596,0,0,0,0,6,6,0,1500000US261635371002
1418,28,1339,0,0,0,0,51,0,51,1500000US261635371003
247,4,243,0,0,0,0,0,0,0,1500000US261635372001
345,3,335,0,0,0,0,7,0,7,1500000US261635372002
585,0,567,0,0,0,0,18,0,18,1500000US261635373001
335,16,319,0,0,0,0,0,0,0,1500000US261635373002
552,7,545,0,0,0,0,0,0,0,1500000US261635373003
255,0,255,0,0,0,0,0,0,0,1500000US261635373004
514,35,453,0,0,0,0,26,0,26,1500000US261635375001
613,14,552,20,0,0,0,27,0,27,1500000US261635375002
479,1,477,1,0,0,0,0,0,0,1500000US261635375003
847,13,772,16,0,0,0,46,0,46,1500000US261635375004
611,18,569,0,0,0,24,0,0,0,1500000US261635375005
767,129,633,0,0,0,0,5,0,5,1500000US261635376001
505,0,505,0,0,0,0,0,0,0,1500000US261635376002
2383,41,2342,0,0,0,0,0,0,0,1500000US261635376003
1302,15,1176,0,0,0,0,111,0,111,1500000US261635377001
747,9,738,0,0,0,0,0,0,0,1500000US261635377002
1034,0,1034,0,0,0,0,0,0,0,1500000US261635377003
372,0,372,0,0,0,0,0,0,0,1500000US261635378001
766,37,723,0,0,6,0,0,0,0,1500000US261635378002
308,0,308,0,0,0,0,0,0,0,1500000US261635378003
1028,132,828,0,34,0,0,34,0,34,1500000US261635381001
1301,379,897,0,8,0,0,17,0,17,1500000US261635381002
1111,173,915,0,11,0,0,12,0,12,1500000US261635382001
1103,226,809,0,11,23,34,0,0,0,1500000US261635382002
1131,162,968,0,0,0,0,1,0,1,1500000US261635383001
998,65,871,0,17,0,11,34,13,21,1500000US261635383002
1019,65,784,0,21,0,88,61,0,61,1500000US261635384001
1030,93,880,0,0,0,0,57,0,57,1500000US261635384002
1057,285,762,10,0,0,0,0,0,0,1500000US261635384003
1329,279,895,0,78,0,0,77,0,77,1500000US261635384004
340,1,339,0,0,0,0,0,0,0,1500000US261635385001
397,19,378,0,0,0,0,0,0,0,1500000US261635385002
632,115,506,0,0,0,0,11,0,11,1500000US261635385003
256,23,225,0,0,0,0,8,0,8,1500000US261635385004
459,0,441,0,0,0,18,0,0,0,1500000US261635385005
709,0,709,0,0,0,0,0,0,0,1500000US261635385006
1865,34,1795,0,0,0,0,36,0,36,1500000US261635385007
943,114,781,0,0,0,0,48,48,0,1500000US261635386001
703,55,647,1,0,0,0,0,0,0,1500000US261635386002
965,0,965,0,0,0,0,0,0,0,1500000US261635386003
787,0,739,0,0,0,0,48,0,48,1500000US261635386004
727,30,648,0,0,0,0,49,0,49,1500000US261635386005
1433,0,1433,0,0,0,0,0,0,0,1500000US261635386006
1033,0,955,0,0,0,0,78,0,78,1500000US261635387001
1413,0,1413,0,0,0,0,0,0,0,1500000US261635387002
2076,33,2026,0,0,0,0,17,0,17,1500000US261635387003
857,0,850,0,0,0,7,0,0,0,1500000US261635388001
800,0,672,0,0,0,18,110,0,110,1500000US261635388002
824,0,824,0,0,0,0,0,0,0,1500000US261635389001
1009,21,971,7,0,0,0,10,0,10,1500000US261635389002
900,53,836,11,0,0,0,0,0,0,1500000US261635389003
686,0,686,0,0,0,0,0,0,0,1500000US261635389004
878,34,812,0,0,0,32,0,0,0,1500000US261635390001
534,104,419,0,0,0,11,0,0,0,1500000US261635390002
545,0,534,0,0,0,0,11,0,11,1500000US261635390003
821,0,821,0,0,0,0,0,0,0,1500000US261635390004
686,18,635,0,22,0,0,11,0,11,1500000US261635391001
1078,8,979,91,0,0,0,0,0,0,1500000US261635391002
584,0,584,0,0,0,0,0,0,0,1500000US261635392001
1913,26,1818,69,0,0,0,0,0,0,1500000US261635392002
890,10,880,0,0,0,0,0,0,0,1500000US261635392003
275,0,275,0,0,0,0,0,0,0,1500000US261635392004
783,34,749,0,0,0,0,0,0,0,1500000US261635392005
1097,16,1042,39,0,0,0,0,0,0,1500000US261635392006
721,2,719,0,0,0,0,0,0,0,1500000US261635393001
778,0,778,0,0,0,0,0,0,0,1500000US261635393002
1091,0,1091,0,0,0,0,0,0,0,1500000US261635393003
1500,0,1488,0,0,0,0,12,0,12,1500000US261635393004
1401,28,1328,0,0,0,0,45,0,45,1500000US261635394001
1256,55,1165,0,0,0,0,36,36,0,1500000US261635394002
1413,0,1401,0,0,0,0,12,12,0,1500000US261635394003
518,0,457,0,0,0,61,0,0,0,1500000US261635395001
513,32,481,0,0,0,0,0,0,0,1500000US261635395002
1168,0,1134,0,34,0,0,0,0,0,1500000US261635395003
1084,22,1046,0,0,0,0,16,0,16,1500000US261635395004
980,22,894,0,0,0,17,47,0,47,1500000US261635396001
1135,13,1083,0,39,0,0,0,0,0,1500000US261635396002
1414,16,1282,0,0,0,0,116,0,116,1500000US261635396003
781,4,777,0,0,0,0,0,0,0,1500000US261635397001
1213,0,1213,0,0,0,0,0,0,0,1500000US261635397002
1259,192,1067,0,0,0,0,0,0,0,1500000US261635401001
822,3,819,0,0,0,0,0,0,0,1500000US261635401002
321,0,321,0,0,0,0,0,0,0,1500000US261635401003
536,8,528,0,0,0,0,0,0,0,1500000US261635401004
672,0,672,0,0,0,0,0,0,0,1500000US261635402001
542,0,536,0,0,0,0,6,0,6,1500000US261635402002
623,0,614,9,0,0,0,0,0,0,1500000US261635402003
474,0,474,0,0,0,0,0,0,0,1500000US261635402004
212,101,111,0,0,0,0,0,0,0,1500000US261635402005
822,8,753,0,0,0,0,61,0,61,1500000US261635402006
357,0,357,0,0,0,0,0,0,0,1500000US261635403001
1029,0,1003,0,0,0,0,26,0,26,1500000US261635403002
348,0,348,0,0,0,0,0,0,0,1500000US261635403003
707,0,699,0,0,0,0,8,0,8,1500000US261635403004
1083,108,878,0,0,0,97,0,0,0,1500000US261635403005
374,3,371,0,0,0,0,0,0,0,1500000US261635404001
879,0,879,0,0,0,0,0,0,0,1500000US261635404002
934,0,934,0,0,0,0,0,0,0,1500000US261635404003
696,20,663,0,0,0,0,13,0,13,1500000US261635404004
1371,0,1371,0,0,0,0,0,0,0,1500000US261635405001
602,14,588,0,0,0,0,0,0,0,1500000US261635405002
779,24,755,0,0,0,0,0,0,0,1500000US261635405003
604,13,591,0,0,0,0,0,0,0,1500000US261635405004
1033,66,967,0,0,0,0,0,0,0,1500000US261635406001
611,129,482,0,0,0,0,0,0,0,1500000US261635406002
745,0,734,0,0,0,0,11,0,11,1500000US261635406003
981,0,930,0,0,0,0,51,0,51,1500000US261635406004
256,21,222,0,0,0,0,13,0,13,1500000US261635407001
549,87,450,0,0,0,0,12,0,12,1500000US261635407002
1154,35,1018,0,0,0,89,12,0,12,1500000US261635407003
1577,0,1461,116,0,0,0,0,0,0,1500000US261635407004
662,8,651,3,0,0,0,0,0,0,1500000US261635408001
1778,21,1757,0,0,0,0,0,0,0,1500000US261635408002
1074,11,1063,0,0,0,0,0,0,0,1500000US261635409001
915,51,859,0,0,5,0,0,0,0,1500000US261635409002
479,1,478,0,0,0,0,0,0,0,1500000US261635409003
1009,4,1005,0,0,0,0,0,0,0,1500000US261635409004
1268,64,1189,0,0,0,0,15,0,15,1500000US261635410001
1750,0,1676,0,0,0,0,74,0,74,1500000US261635410002
1158,42,1116,0,0,0,0,0,0,0,1500000US261635410003
487,0,487,0,0,0,0,0,0,0,1500000US261635411001
436,0,398,0,13,0,0,25,0,25,1500000US261635411002
309,0,309,0,0,0,0,0,0,0,1500000US261635411003
766,128,638,0,0,0,0,0,0,0,1500000US261635411004
361,12,349,0,0,0,0,0,0,0,1500000US261635411005
559,17,537,5,0,0,0,0,0,0,1500000US261635412001
990,106,876,0,0,0,0,8,0,8,1500000US261635412002
361,2,359,0,0,0,0,0,0,0,1500000US261635412003
364,47,311,6,0,0,0,0,0,0,1500000US261635412004
1035,116,919,0,0,0,0,0,0,0,1500000US261635413001
1057,346,660,5,15,0,31,0,0,0,1500000US261635413002
780,115,652,0,0,0,0,13,0,13,1500000US261635413003
494,127,367,0,0,0,0,0,0,0,1500000US261635414001
1189,37,1137,0,0,0,15,0,0,0,1500000US261635414002
1210,161,894,0,0,0,0,155,0,155,1500000US261635414003
782,23,745,0,0,0,0,14,0,14,1500000US261635415001
1040,24,971,0,0,0,0,45,0,45,1500000US261635415002
721,32,641,0,0,0,0,48,0,48,1500000US261635415003
1642,26,1584,32,0,0,0,0,0,0,1500000US261635415004
686,4,670,0,0,0,2,10,10,0,1500000US261635417001
1815,51,1719,10,0,0,22,13,13,0,1500000US261635417002
1079,198,716,0,123,0,0,42,0,42,1500000US261635418001
1294,206,1005,0,0,0,56,27,0,27,1500000US261635418002
1115,18,1097,0,0,0,0,0,0,0,1500000US261635421001
522,3,519,0,0,0,0,0,0,0,1500000US261635421002
566,0,566,0,0,0,0,0,0,0,1500000US261635421003
421,3,418,0,0,0,0,0,0,0,1500000US261635421004
1101,32,1018,0,0,0,36,15,0,15,1500000US261635421005
379,0,379,0,0,0,0,0,0,0,1500000US261635421006
540,8,532,0,0,0,0,0,0,0,1500000US261635422001
837,0,826,0,0,0,11,0,0,0,1500000US261635422002
570,0,570,0,0,0,0,0,0,0,1500000US261635422003
788,0,788,0,0,0,0,0,0,0,1500000US261635422004
509,2,457,0,0,0,0,50,0,50,1500000US261635422005
763,0,763,0,0,0,0,0,0,0,1500000US261635423001
543,67,476,0,0,0,0,0,0,0,1500000US261635423002
683,61,616,0,6,0,0,0,0,0,1500000US261635423003
644,0,644,0,0,0,0,0,0,0,1500000US261635424001
906,25,816,59,0,0,0,6,0,6,1500000US261635424002
1213,26,1187,0,0,0,0,0,0,0,1500000US261635424003
1123,25,1073,0,0,0,10,15,0,15,1500000US261635425001
721,0,649,13,12,0,0,47,0,47,1500000US261635425002
819,35,774,0,0,0,0,10,0,10,1500000US261635425003
1359,0,1334,0,0,0,0,25,0,25,1500000US261635426001
1026,0,1016,0,0,0,0,10,10,0,1500000US261635426002
905,0,890,0,0,0,0,15,0,15,1500000US261635426003
441,0,441,0,0,0,0,0,0,0,1500000US261635426004
939,60,856,0,0,0,11,12,0,12,1500000US261635427001
586,51,528,0,0,0,0,7,0,7,1500000US261635428001
1273,210,1034,0,0,0,0,29,0,29,1500000US261635428002
941,116,817,0,0,0,8,0,0,0,1500000US261635428003
880,0,827,0,0,0,53,0,0,0,1500000US261635429001
737,200,537,0,0,0,0,0,0,0,1500000US261635429002
1237,149,1056,0,0,0,0,32,0,32,1500000US261635429003
999,63,926,10,0,0,0,0,0,0,1500000US261635429004
1214,65,1007,0,0,0,0,142,0,142,1500000US261635430001
634,60,560,0,0,0,0,14,0,14,1500000US261635430002
1085,244,776,0,27,0,0,38,0,38,1500000US261635431001
1312,41,1243,0,0,0,0,28,12,16,1500000US261635431002
1226,0,1190,0,0,0,12,24,13,11,1500000US261635432001
358,12,346,0,0,0,0,0,0,0,1500000US261635432002
1264,1,1238,9,0,0,0,16,0,16,1500000US261635432003
1258,15,1219,0,0,0,0,24,13,11,1500000US261635434001
1502,43,1349,35,0,0,0,75,0,75,1500000US261635434002
817,70,641,0,0,0,0,106,32,74,1500000US261635434003
374,35,320,0,0,0,0,19,0,19,1500000US261635435001
570,45,512,5,0,0,0,8,0,8,1500000US261635435002
195,70,115,0,0,0,0,10,0,10,1500000US261635436001
553,37,506,0,0,0,0,10,10,0,1500000US261635436002
336,13,323,0,0,0,0,0,0,0,1500000US261635436003
294,16,248,0,30,0,0,0,0,0,1500000US261635437001
1837,46,1716,16,28,0,0,31,14,17,1500000US261635437002
489,18,471,0,0,0,0,0,0,0,1500000US261635437003
487,30,401,0,0,0,56,0,0,0,1500000US261635438001
290,55,218,0,0,0,17,0,0,0,1500000US261635438002
495,116,379,0,0,0,0,0,0,0,1500000US261635439001
287,33,223,10,0,0,0,21,0,21,1500000US261635439002
1054,115,811,6,28,0,62,32,14,18,1500000US261635440001
1580,103,1471,0,1,0,0,5,0,5,1500000US261635440002
823,6,817,0,0,0,0,0,0,0,1500000US261635441001
815,51,764,0,0,0,0,0,0,0,1500000US261635441002
841,0,757,84,0,0,0,0,0,0,1500000US261635441003
616,50,558,0,0,0,0,8,0,8,1500000US261635442001
753,76,677,0,0,0,0,0,0,0,1500000US261635442002
412,32,380,0,0,0,0,0,0,0,1500000US261635442003
526,69,457,0,0,0,0,0,0,0,1500000US261635443001
367,54,313,0,0,0,0,0,0,0,1500000US261635443002
1495,289,1180,0,0,0,0,26,0,26,1500000US261635443003
237,9,228,0,0,0,0,0,0,0,1500000US261635451001
286,0,286,0,0,0,0,0,0,0,1500000US261635451002
250,9,199,35,0,0,0,7,0,7,1500000US261635451003
411,0,411,0,0,0,0,0,0,0,1500000US261635452001
800,5,786,0,0,0,0,9,0,9,1500000US261635452002
678,0,678,0,0,0,0,0,0,0,1500000US261635452003
626,0,626,0,0,0,0,0,0,0,1500000US261635452004
401,68,333,0,0,0,0,0,0,0,1500000US261635453001
662,0,662,0,0,0,0,0,0,0,1500000US261635453002
1015,90,925,0,0,0,0,0,0,0,1500000US261635453003
1863,231,1624,0,0,0,0,8,0,8,1500000US261635454001
657,45,423,0,0,0,139,50,0,50,1500000US261635455001
699,148,515,0,0,0,0,36,0,36,1500000US261635455002
455,44,402,0,0,0,0,9,0,9,1500000US261635455003
1055,19,1012,0,0,0,0,24,0,24,1500000US261635455004
661,55,606,0,0,0,0,0,0,0,1500000US261635455005
475,38,317,0,0,0,0,120,0,120,1500000US261635455006
1217,1105,34,0,0,0,65,13,0,13,1500000US261635456001
747,463,163,0,0,0,121,0,0,0,1500000US261635456002
1356,1185,171,0,0,0,0,0,0,0,1500000US261635456003
1195,929,133,0,0,0,133,0,0,0,1500000US261635456004
988,601,387,0,0,0,0,0,0,0,1500000US261635456005
1857,1062,725,0,0,0,14,56,0,56,1500000US261635457001
1542,611,793,58,0,0,23,57,27,30,1500000US261635457002
825,245,580,0,0,0,0,0,0,0,1500000US261635458001
1057,344,629,13,0,0,15,56,0,56,1500000US261635458002
1289,497,574,95,0,0,0,123,0,123,1500000US261635458003
1053,294,739,0,0,0,0,20,0,20,1500000US261635458004
1101,469,595,0,0,0,37,0,0,0,1500000US261635458005
1239,45,1076,0,26,0,63,29,0,29,1500000US261635459001
560,164,396,0,0,0,0,0,0,0,1500000US261635459002
374,97,262,0,1,0,12,2,0,2,1500000US261635459003
605,257,304,0,0,0,10,34,0,34,1500000US261635459004
1222,42,1180,0,0,0,0,0,0,0,1500000US261635459005
425,29,396,0,0,0,0,0,0,0,1500000US261635460001
494,11,344,21,11,0,107,0,0,0,1500000US261635460002
475,27,448,0,0,0,0,0,0,0,1500000US261635460003
473,26,436,0,0,11,0,0,0,0,1500000US261635460004
1219,87,994,0,0,0,112,26,0,26,1500000US261635460005
292,14,265,0,0,0,0,13,0,13,1500000US261635461001
1285,22,1234,0,0,0,0,29,0,29,1500000US261635461002
825,119,706,0,0,0,0,0,0,0,1500000US261635461003
823,41,782,0,0,0,0,0,0,0,1500000US261635461004
354,172,164,0,0,0,18,0,0,0,1500000US261635461005
1155,279,876,0,0,0,0,0,0,0,1500000US261635462001
600,24,522,0,14,0,40,0,0,0,1500000US261635462002
920,48,861,0,0,0,0,11,0,11,1500000US261635462003
1270,880,354,0,0,0,0,36,0,36,1500000US261635462004
969,264,618,0,0,0,87,0,0,0,1500000US261635463001
1029,112,835,0,0,0,0,82,0,82,1500000US261635463002
343,48,295,0,0,0,0,0,0,0,1500000US261635464001
592,7,585,0,0,0,0,0,0,0,1500000US261635464002
1129,41,1056,0,15,0,0,17,10,7,1500000US261635465001
1285,44,1225,0,0,0,8,8,8,0,1500000US261635465002
576,15,554,0,0,0,0,7,0,7,1500000US261635466001
1008,98,875,0,0,0,0,35,0,35,1500000US261635466002
443,28,415,0,0,0,0,0,0,0,1500000US261635466003
215,20,133,13,0,0,0,49,0,49,1500000US261635467001
247,71,176,0,0,0,0,0,0,0,1500000US261635467002
811,38,761,0,0,0,0,12,0,12,1500000US261635467003
753,39,689,0,0,0,25,0,0,0,1500000US261635467004
679,39,497,0,0,0,0,143,0,143,1500000US261635467005
449,0,379,0,0,0,0,70,0,70,1500000US261635468001
723,6,694,0,0,0,23,0,0,0,1500000US261635468002
1736,98,1638,0,0,0,0,0,0,0,1500000US261635468003
1017,0,1017,0,0,0,0,0,0,0,1500000US261635468004
1061,0,1018,38,0,0,0,5,0,5,1500000US261635469001
648,555,41,7,12,0,0,33,0,33,1500000US261635501001
773,633,71,0,44,0,0,25,0,25,1500000US261635501002
584,401,151,0,0,0,26,6,0,6,1500000US261635501003
603,571,0,0,0,0,0,32,0,32,1500000US261635501004
1399,1245,72,0,65,0,0,17,0,17,1500000US261635501005
1312,1111,103,0,56,0,10,32,0,32,1500000US261635502001
1362,962,297,9,17,0,23,54,0,54,1500000US261635502002
1314,1103,74,0,73,0,0,64,7,57,1500000US261635502003
1302,1248,6,0,11,0,0,37,0,37,1500000US261635503001
1856,1761,78,0,0,0,0,17,0,17,1500000US261635503002
734,615,86,0,0,0,6,27,0,27,1500000US261635504001
814,803,5,0,0,0,6,0,0,0,1500000US261635504002
766,691,67,0,8,0,0,0,0,0,1500000US261635505001
1475,1435,0,0,11,0,7,22,0,22,1500000US261635505002
1417,1256,21,0,0,0,9,131,0,131,1500000US261635505003
614,576,4,0,34,0,0,0,0,0,1500000US261635506001
1196,1196,0,0,0,0,0,0,0,0,1500000US261635506002
609,609,0,0,0,0,0,0,0,0,1500000US261635506003
1068,960,108,0,0,0,0,0,0,0,1500000US261635507001
676,665,0,0,11,0,0,0,0,0,1500000US261635507002
762,762,0,0,0,0,0,0,0,0,1500000US261635507003
471,458,13,0,0,0,0,0,0,0,1500000US261635507004
931,889,13,0,0,0,0,29,0,29,1500000US261635507005
1375,1349,12,0,0,0,0,14,0,14,1500000US261635507006
747,689,0,0,42,0,0,16,0,16,1500000US261635508001
719,651,17,0,10,0,4,37,0,37,1500000US261635508002
883,732,43,0,69,0,0,39,16,23,1500000US261635509001
962,825,47,16,74,0,0,0,0,0,1500000US261635509002
890,837,0,0,39,0,0,14,0,14,1500000US261635509003
1271,1243,9,0,19,0,0,0,0,0,1500000US261635511001
1239,1167,16,0,56,0,0,0,0,0,1500000US261635511002
1293,1117,0,0,21,0,0,155,0,155,1500000US261635511003
1107,1073,16,0,18,0,0,0,0,0,1500000US261635511004
797,615,125,0,0,0,0,57,23,34,1500000US261635512001
545,534,11,0,0,0,0,0,0,0,1500000US261635512002
770,625,145,0,0,0,0,0,0,0,1500000US261635512003
1142,827,308,0,0,0,7,0,0,0,1500000US261635512004
748,640,97,0,11,0,0,0,0,0,1500000US261635512005
394,131,254,0,9,0,0,0,0,0,1500000US261635513001
637,330,278,0,29,0,0,0,0,0,1500000US261635513002
1529,1013,295,0,11,0,6,204,0,204,1500000US261635513003
1070,344,664,0,0,0,0,62,0,62,1500000US261635513004
1020,222,792,0,0,0,0,6,0,6,1500000US261635514001
1009,289,625,0,79,0,0,16,0,16,1500000US261635514002
1166,390,565,0,142,0,0,69,0,69,1500000US261635514003
1011,258,746,0,0,0,0,7,0,7,1500000US261635514004
1183,254,816,0,38,0,0,75,0,75,1500000US261635515001
1284,493,739,0,0,0,33,19,0,19,1500000US261635515002
1220,215,936,0,0,0,0,69,0,69,1500000US261635516001
1678,406,1203,19,0,0,0,50,0,50,1500000US261635516002
694,218,402,18,0,0,0,56,0,56,1500000US261635516003
1032,944,0,0,70,0,0,18,0,18,1500000US261635517001
1227,1182,0,0,11,0,0,34,0,34,1500000US261635517002
947,884,0,0,63,0,0,0,0,0,1500000US261635517003
945,906,10,0,29,0,0,0,0,0,1500000US261635518001
