Total:,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,GEO_ID
287,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9,113,0,28,85,0,34,7,0,0,1500000US261635121004
279,0,0,0,0,0,0,0,0,23,0,0,6,0,31,0,106,9,0,40,16,20,28,0,0,1500000US261635121005
417,5,0,0,0,0,0,0,0,0,0,0,24,26,51,11,141,60,8,60,0,31,0,0,0,1500000US261635122001
179,0,0,0,0,0,0,0,0,0,0,0,18,0,0,12,72,8,0,33,18,18,0,0,0,1500000US261635122002
551,13,0,0,0,0,0,0,0,0,0,5,25,12,75,24,201,35,27,100,18,9,7,0,0,1500000US261635123001
403,0,0,0,0,0,0,0,3,0,7,0,12,5,32,8,179,55,7,73,14,8,0,0,0,1500000US261635123002
257,10,0,0,0,0,0,0,0,0,0,0,0,10,25,13,112,5,18,33,21,5,5,0,0,1500000US261635124001
213,12,11,0,0,0,10,0,0,0,0,0,16,20,5,6,59,12,5,26,12,19,0,0,0,1500000US261635124002
293,16,0,0,0,0,0,0,0,0,0,11,0,16,4,18,137,0,5,22,38,26,0,0,0,1500000US261635124003
245,18,0,0,0,0,0,0,0,0,0,0,14,10,0,6,106,21,12,32,0,26,0,0,0,1500000US261635126001
179,0,0,0,0,0,0,0,0,0,0,0,6,0,36,0,81,13,0,34,0,9,0,0,0,1500000US261635126002
186,0,0,0,0,0,14,0,0,10,0,0,20,0,0,0,63,33,0,46,0,0,0,0,0,1500000US261635126003
205,0,0,0,0,0,0,0,0,0,0,0,0,11,5,13,57,24,13,19,43,0,0,0,20,1500000US261635126004
384,0,0,0,0,0,0,5,0,0,0,0,21,0,39,11,121,73,32,55,6,16,0,0,5,1500000US261635129001
271,17,0,0,0,0,0,0,0,0,0,0,7,18,36,13,67,6,0,38,23,30,16,0,0,1500000US261635129002
92,8,0,0,0,0,0,0,0,0,0,0,0,0,18,6,48,5,0,0,0,7,0,0,0,1500000US261635129003
362,6,0,0,0,0,0,0,0,0,0,32,0,0,1,6,155,26,5,71,20,19,21,0,0,1500000US261635132001
355,8,0,0,0,0,0,0,0,0,0,5,0,5,12,12,63,31,37,76,33,50,18,0,5,1500000US261635132002
358,0,0,0,0,0,0,0,0,0,0,6,0,7,40,43,67,0,31,91,20,47,6,0,0,1500000US261635132003
994,0,0,0,0,0,0,0,0,0,6,11,22,51,25,39,148,13,49,252,37,196,105,28,12,1500000US261635133001
996,10,0,0,0,0,0,0,5,0,0,14,0,19,17,6,230,27,39,290,52,152,97,0,38,1500000US261635133002
258,0,0,0,0,0,0,0,0,0,0,18,0,8,12,17,82,29,36,46,0,7,3,0,0,1500000US261635136001
684,7,0,0,0,0,0,0,4,5,0,0,11,40,91,0,213,47,7,138,33,71,12,5,0,1500000US261635136002
784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,46,164,91,97,177,29,29,1500000US261635137001
899,0,0,0,0,0,9,0,0,0,0,43,20,20,62,21,133,48,46,293,40,84,69,0,11,1500000US261635137002
767,1,0,0,0,0,0,0,0,0,26,0,0,57,67,0,218,32,10,170,51,56,70,9,0,1500000US261635137003
266,0,0,0,0,0,0,0,0,0,0,0,10,4,45,10,111,3,3,17,44,11,8,0,0,1500000US261635139001
619,0,0,23,0,0,0,0,0,10,0,0,4,38,39,18,178,72,45,121,16,55,0,0,0,1500000US261635139002
124,0,0,0,0,0,0,0,0,0,0,15,19,16,2,2,11,8,3,15,8,0,5,20,0,1500000US261635139003
466,14,0,0,0,0,0,0,0,20,0,28,0,38,0,56,114,37,11,77,14,43,14,0,0,1500000US261635141001
363,0,0,0,0,0,0,0,0,0,0,0,0,17,0,43,105,19,17,132,15,15,0,0,0,1500000US261635141002
374,15,0,0,0,0,0,0,0,0,0,0,0,10,26,0,100,12,16,103,9,43,32,0,8,1500000US261635141003
362,0,0,0,0,0,0,0,0,0,0,0,0,9,30,27,151,22,28,76,9,10,0,0,0,1500000US261635141004
439,0,0,0,0,0,0,0,0,0,0,0,0,0,56,62,156,0,57,16,9,63,20,0,0,1500000US261635142001
381,0,0,0,0,0,0,0,0,0,0,0,0,41,54,0,87,23,0,156,20,0,0,0,0,1500000US261635142002
472,7,0,0,0,0,0,0,0,0,0,0,0,23,62,0,125,13,55,104,29,24,30,0,0,1500000US261635142003
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,0,61,19,10,0,0,0,1500000US261635142004
350,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,49,3,51,195,42,0,0,0,0,1500000US261635142005
750,22,0,0,0,0,0,5,0,23,0,18,54,17,92,27,212,31,21,134,49,29,16,0,0,1500000US261635143001
274,0,0,0,0,0,0,0,0,9,0,0,17,14,7,23,48,54,12,68,7,6,9,0,0,1500000US261635143002
695,17,0,0,0,0,0,0,0,0,8,5,36,78,53,36,173,29,30,177,26,27,0,0,0,1500000US261635143003
248,0,0,0,0,0,0,0,0,0,0,7,17,6,35,17,97,0,10,53,6,0,0,0,0,1500000US261635145001
386,0,0,0,0,0,0,0,0,0,0,0,7,0,32,9,53,72,61,66,39,27,20,0,0,1500000US261635145002
1001,5,0,0,0,0,0,0,5,0,5,9,18,21,69,18,303,39,51,288,58,79,13,12,8,1500000US261635152001
561,10,0,0,0,0,0,0,0,0,0,21,0,36,35,52,125,55,13,180,15,13,6,0,0,1500000US261635152002
1053,0,0,0,0,0,0,0,0,0,6,21,18,54,81,12,200,31,17,181,52,210,145,13,12,1500000US261635153001
1281,18,0,0,0,0,0,18,0,24,9,73,102,109,186,58,303,68,60,216,8,29,0,0,0,1500000US261635153002
488,18,0,0,0,0,0,0,0,0,0,0,8,0,11,0,50,0,12,129,29,151,63,11,6,1500000US261635153003
468,18,0,0,0,0,0,0,0,6,0,0,0,27,0,0,38,21,33,44,28,105,97,36,15,1500000US261635154001
730,18,0,0,0,0,0,0,0,1,0,8,0,1,2,2,24,10,32,83,36,258,200,25,30,1500000US261635154002
512,23,0,0,0,0,0,0,0,16,0,8,13,0,38,19,53,18,22,96,84,73,49,0,0,1500000US261635156001
481,0,0,0,0,0,0,0,0,0,20,6,5,0,52,9,240,7,12,99,0,24,0,0,7,1500000US261635156002
2881,58,0,0,0,0,0,0,0,0,16,0,39,0,124,60,353,70,349,253,260,711,475,57,56,1500000US261635157001
641,19,0,0,0,0,0,0,0,0,0,0,0,0,0,36,61,0,56,94,32,222,59,40,22,1500000US261635157002
570,14,0,0,0,0,0,34,0,0,0,0,0,14,19,69,196,43,47,21,21,49,18,18,7,1500000US261635159001
147,0,0,0,0,0,0,7,0,0,0,0,0,8,26,0,21,33,5,26,14,0,7,0,0,1500000US261635159002
340,1,0,0,0,0,0,0,0,0,41,0,0,33,16,0,100,45,0,57,45,1,1,0,0,1500000US261635159003
715,21,0,0,0,0,0,0,0,0,0,0,10,2,30,18,114,21,24,233,64,135,0,43,0,1500000US261635160001
128,29,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,8,12,0,19,0,0,19,1500000US261635160002
396,0,0,0,0,0,0,0,0,9,0,0,0,39,42,18,184,0,0,95,9,0,0,0,0,1500000US261635160003
352,0,0,0,0,0,6,0,0,0,0,8,6,14,17,13,69,183,4,10,6,16,0,0,0,1500000US261635160004
187,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,49,4,6,59,27,10,17,0,0,1500000US261635161001
230,0,0,0,0,0,0,0,0,0,0,4,0,11,11,0,110,29,17,34,10,0,4,0,0,1500000US261635161002
186,0,0,0,0,0,0,0,0,15,0,5,0,9,0,16,65,11,10,14,10,31,0,0,0,1500000US261635162001
207,0,0,0,0,0,0,0,0,0,0,0,0,0,51,24,39,11,14,41,7,13,0,7,0,1500000US261635162002
623,22,0,0,0,0,0,0,0,0,6,0,6,10,89,35,144,62,11,133,39,35,20,11,0,1500000US261635163001
479,0,0,0,0,0,0,0,0,0,0,0,6,0,29,9,155,45,9,15,6,131,55,13,6,1500000US261635164001
227,7,0,0,0,0,0,2,12,0,0,0,25,8,31,2,90,0,10,20,0,14,6,0,0,1500000US261635164002
1597,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,128,26,57,284,96,456,336,107,68,1500000US261635165001
479,12,0,0,0,0,0,0,0,0,0,0,47,35,26,0,154,29,45,107,9,0,15,0,0,1500000US261635166001
756,21,0,0,0,0,0,0,0,0,0,25,36,0,6,54,122,32,43,104,49,248,16,0,0,1500000US261635166002
1541,0,0,0,0,0,0,0,0,0,0,28,0,0,53,48,353,10,124,353,150,203,154,55,10,1500000US261635167001
812,0,0,0,0,0,0,0,0,27,35,0,0,43,20,13,199,53,45,101,66,75,108,27,0,1500000US261635167002
388,0,0,0,0,0,0,0,0,0,5,14,4,6,6,16,83,80,19,73,10,31,41,0,0,1500000US261635168001
271,7,0,0,0,0,0,0,0,0,0,0,0,14,0,0,118,6,6,60,32,28,0,0,0,1500000US261635168002
1863,56,0,0,0,0,0,0,0,0,39,8,58,17,63,61,290,180,120,361,117,242,208,22,21,1500000US261635169001
2663,0,0,0,0,0,0,0,0,0,0,0,11,0,20,16,186,22,110,289,176,958,512,178,185,1500000US261635170001
1027,0,0,0,0,0,0,0,0,0,0,0,14,3,30,6,119,13,42,207,75,231,176,96,15,1500000US261635171001
768,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15,43,18,20,219,13,223,140,63,7,1500000US261635172001
1210,7,0,0,9,0,0,0,0,5,6,47,22,97,113,5,159,217,52,137,42,204,45,43,0,1500000US261635172002
1061,4,0,0,0,0,0,0,0,0,0,0,7,7,17,18,94,56,14,103,34,373,206,110,18,1500000US261635173001
527,14,0,0,0,0,0,0,12,0,0,0,0,21,134,17,151,34,34,79,31,0,0,0,0,1500000US261635173002
712,64,0,0,0,0,0,0,0,0,0,0,78,29,69,8,165,28,47,135,23,56,0,0,10,1500000US261635175001
1039,0,0,0,0,0,0,0,0,0,0,0,5,23,71,35,297,19,36,111,38,196,98,102,8,1500000US261635175002
384,16,0,0,0,0,0,0,0,0,0,0,29,0,20,0,133,12,46,23,17,65,13,0,10,1500000US261635175003
743,0,0,0,0,0,0,0,0,0,0,20,25,20,18,0,89,21,46,48,41,226,102,71,16,1500000US261635180001
1179,0,0,0,0,0,0,17,0,0,0,0,0,57,65,14,344,20,37,199,94,162,130,13,27,1500000US261635180002
140,5,0,0,0,0,0,0,0,0,0,0,32,0,5,0,29,6,21,27,15,0,0,0,0,1500000US261635184001
77,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,48,5,0,0,14,0,0,0,0,1500000US261635184002
213,12,0,0,0,0,0,0,0,0,0,9,2,14,8,7,46,35,30,29,0,12,9,0,0,1500000US261635185001
439,0,0,0,0,0,0,0,0,0,0,3,0,6,5,28,150,33,48,59,58,37,12,0,0,1500000US261635185002
210,0,0,0,0,0,0,0,0,0,0,18,0,29,0,21,48,13,3,50,7,17,0,0,4,1500000US261635186001
145,1,0,0,0,0,0,0,0,0,0,0,0,26,2,4,74,11,1,16,5,5,0,0,0,1500000US261635186002
242,0,0,0,0,0,0,0,0,0,0,0,4,10,0,27,46,45,18,52,0,40,0,0,0,1500000US261635188001
187,7,0,0,0,0,0,0,0,0,0,0,0,0,42,16,39,33,11,17,0,5,17,0,0,1500000US261635188002
1207,11,0,0,0,0,0,0,0,7,0,0,7,28,187,0,241,69,115,348,69,74,44,0,7,1500000US261635189001
772,0,0,0,0,0,0,0,0,0,0,0,0,24,0,28,35,16,0,86,0,274,247,28,34,1500000US261635202001
293,0,0,0,0,0,0,0,0,0,0,0,0,19,8,12,7,11,6,47,22,115,29,0,17,1500000US261635202002
1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,32,5,60,87,456,282,28,36,1500000US261635203001
486,0,0,0,0,0,0,0,0,0,0,27,0,14,0,0,81,28,0,56,11,185,76,0,8,1500000US261635203002
1101,18,0,0,0,0,0,0,0,0,0,0,34,112,78,4,133,4,23,277,36,213,117,16,36,1500000US261635204001
833,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,201,25,29,223,8,173,124,21,21,1500000US261635207001
1312,15,0,0,0,0,0,0,0,0,0,16,50,23,0,0,37,9,15,284,104,455,160,120,24,1500000US261635207002
1601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,20,335,78,394,330,292,130,1500000US261635208001
641,6,0,0,0,0,14,0,0,27,0,18,26,26,14,8,207,78,0,88,12,70,47,0,0,1500000US261635211001
703,20,0,0,0,0,6,9,0,9,0,52,20,45,51,6,120,69,28,131,34,24,79,0,0,1500000US261635211002
580,33,0,0,0,0,0,0,0,0,0,0,29,27,44,0,121,58,30,81,67,61,16,13,0,1500000US261635213001
813,0,0,9,0,0,0,0,0,0,0,9,7,33,27,6,92,23,16,155,46,217,105,56,12,1500000US261635214001
603,0,0,0,0,0,0,0,0,0,0,34,5,16,18,4,160,9,5,109,4,204,21,14,0,1500000US261635215001
412,10,0,0,0,0,0,0,0,0,0,0,0,37,32,12,75,49,0,128,54,15,0,0,0,1500000US261635215002
1226,8,0,0,0,0,0,0,0,25,0,56,38,6,174,20,297,83,70,226,87,93,31,0,12,1500000US261635218001
613,3,0,0,0,0,0,0,0,5,0,55,5,3,6,0,51,51,0,90,79,181,84,0,0,1500000US261635219001
664,8,0,0,0,0,0,0,0,0,0,28,10,44,18,62,182,40,58,163,51,0,0,0,0,1500000US261635219002
816,0,0,0,0,0,0,0,0,0,0,36,0,14,0,45,104,36,41,102,0,338,49,10,41,1500000US261635219003
1224,0,0,0,0,0,0,0,0,0,2,39,46,11,70,86,319,36,71,296,161,87,0,0,0,1500000US261635220001
200,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,24,21,0,60,52,17,1,0,0,1500000US261635221001
271,1,0,0,0,0,0,0,1,0,0,0,0,18,23,11,26,2,37,112,0,19,21,0,0,1500000US261635221002
196,7,0,0,0,0,0,0,0,0,0,0,3,5,2,2,57,38,21,23,11,20,7,0,0,1500000US261635222001
138,0,0,0,0,0,0,0,0,0,0,3,0,6,12,6,42,31,5,25,8,0,0,0,0,1500000US261635222002
186,0,0,0,0,0,0,0,0,0,0,0,8,0,0,68,58,11,10,16,0,15,0,0,0,1500000US261635223001
666,10,0,0,0,0,0,0,0,0,0,1,26,67,66,0,153,102,26,144,13,38,20,0,0,1500000US261635223002
107,0,0,0,0,0,0,1,0,0,1,0,0,2,1,9,3,2,4,57,0,20,7,0,0,1500000US261635224001
493,0,0,0,0,0,0,0,0,0,0,0,0,10,35,13,149,15,27,151,12,53,28,0,0,1500000US261635224002
347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,35,52,172,0,23,0,4,0,1500000US261635225001
561,6,0,0,0,0,0,0,13,5,21,15,26,12,56,25,107,93,11,114,12,22,0,23,0,1500000US261635225002
572,0,0,0,0,0,0,10,9,0,0,25,25,16,19,41,160,62,37,102,53,13,0,0,0,1500000US261635225003
877,40,0,7,0,0,0,6,0,84,49,29,31,63,13,21,233,57,26,95,14,76,33,0,0,1500000US261635231001
1040,47,0,0,0,0,32,0,31,140,0,33,10,73,43,24,282,8,30,92,87,108,0,0,0,1500000US261635232001
1103,30,0,0,0,0,17,0,0,96,21,0,93,22,15,39,276,177,67,125,74,51,0,0,0,1500000US261635232002
418,9,0,0,0,9,53,41,0,38,0,36,70,0,30,0,60,0,0,37,35,0,0,0,0,1500000US261635233001
724,34,0,0,0,0,0,20,39,0,0,55,0,54,23,0,210,73,48,143,0,25,0,0,0,1500000US261635233002
421,45,0,0,0,0,0,0,15,26,0,0,0,0,24,0,164,14,0,84,35,6,8,0,0,1500000US261635233003
961,11,0,0,0,0,19,0,0,22,0,111,22,22,25,0,131,23,24,100,50,249,86,35,31,1500000US261635234001
697,36,0,0,0,0,10,0,18,18,0,31,10,0,46,106,101,52,55,109,18,65,8,0,14,1500000US261635234002
433,0,0,0,0,0,0,0,0,0,18,57,15,70,60,43,50,15,0,46,32,14,13,0,0,1500000US261635238001
382,0,0,0,0,0,0,0,0,125,0,17,53,0,60,0,71,0,0,31,0,25,0,0,0,1500000US261635238002
611,37,0,0,27,0,0,0,0,0,0,100,109,3,1,31,102,28,38,27,1,50,57,0,0,1500000US261635238003
1118,33,0,0,0,36,37,0,0,168,0,61,40,41,91,86,139,129,30,180,21,26,0,0,0,1500000US261635238004
706,47,0,0,0,0,0,0,12,12,0,55,47,43,34,23,151,131,33,85,25,8,0,0,0,1500000US261635240001
357,30,0,0,0,0,13,0,0,0,0,10,0,24,0,16,152,7,8,23,26,37,0,11,0,1500000US261635240002
829,56,19,0,2,0,28,28,0,98,0,24,56,24,70,21,137,7,46,95,54,64,0,0,0,1500000US261635240003
478,38,0,0,0,0,37,0,0,55,24,17,0,12,0,18,58,66,25,89,26,0,13,0,0,1500000US261635241001
446,0,0,22,0,23,12,0,49,68,0,41,35,37,37,0,24,55,0,28,15,0,0,0,0,1500000US261635241002
905,60,0,0,0,0,18,11,0,64,0,33,53,28,68,9,273,112,20,63,25,60,8,0,0,1500000US261635241003
378,0,0,0,0,0,0,12,17,38,0,0,0,66,41,10,109,0,34,36,15,0,0,0,0,1500000US261635241004
519,0,0,0,0,0,0,0,0,25,0,69,40,88,26,10,125,51,0,44,0,41,0,0,0,1500000US261635242001
360,43,0,0,0,0,0,0,0,0,0,40,72,4,0,0,124,35,0,31,0,11,0,0,0,1500000US261635242002
246,0,0,0,0,0,0,0,15,16,25,0,53,0,0,0,89,42,0,6,0,0,0,0,0,1500000US261635242003
395,28,0,0,0,0,0,0,25,27,0,0,41,0,11,0,74,46,28,102,0,13,0,0,0,1500000US261635242004
501,124,0,0,0,19,0,0,45,55,0,0,5,51,60,0,69,26,23,8,13,1,2,0,0,1500000US261635242005
588,6,0,0,0,0,0,0,33,27,0,22,33,49,44,9,183,21,0,95,20,46,0,0,0,1500000US261635242006
435,45,9,0,0,0,12,7,0,21,0,18,36,52,20,0,115,37,31,7,25,0,0,0,0,1500000US261635243001
587,9,0,0,0,45,0,2,0,139,3,28,20,45,35,8,129,14,21,75,6,8,0,0,0,1500000US261635243002
502,3,0,0,0,0,0,0,0,0,19,31,38,44,82,4,155,9,38,59,7,0,13,0,0,1500000US261635243003
32,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,8,0,0,9,0,0,0,0,1500000US261635245001
54,7,0,0,0,0,0,0,0,0,0,0,0,8,7,7,13,0,0,12,0,0,0,0,0,1500000US261635245002
293,28,0,0,0,0,0,0,0,0,13,0,0,8,10,0,76,22,9,111,7,0,9,0,0,1500000US261635247001
607,0,0,0,0,0,0,0,0,0,0,0,19,53,0,8,103,20,60,99,39,199,7,0,0,1500000US261635247002
543,0,0,0,0,0,0,0,0,0,0,89,24,0,0,18,251,26,42,26,35,32,0,0,0,1500000US261635247003
423,0,0,0,0,0,0,0,0,0,0,11,0,10,20,49,155,43,57,70,0,8,0,0,0,1500000US261635247004
391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,48,0,12,9,27,33,0,0,1500000US261635247005
656,68,0,0,0,0,0,8,0,0,0,18,0,42,33,0,136,0,99,128,103,15,6,0,0,1500000US261635247006
369,12,0,0,0,0,0,0,0,0,0,0,0,0,95,0,60,16,4,149,6,27,0,0,0,1500000US261635248001
365,0,0,0,0,0,0,0,0,0,44,0,8,0,13,62,101,10,44,30,10,36,7,0,0,1500000US261635248002
328,14,0,0,0,0,0,10,0,0,14,0,10,0,43,0,29,34,36,50,21,67,0,0,0,1500000US261635248003
242,0,0,0,0,0,0,25,0,0,0,11,0,0,6,16,58,0,42,44,11,29,0,0,0,1500000US261635248004
581,0,0,0,0,0,0,0,0,12,0,10,0,0,50,14,207,42,36,59,68,40,43,0,0,1500000US261635248005
461,7,0,0,0,0,0,0,0,26,0,0,26,3,56,53,148,36,14,54,9,29,0,0,0,1500000US261635249001
304,4,0,0,29,0,0,0,3,21,0,0,12,21,0,10,103,30,8,41,9,13,0,0,0,1500000US261635249002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000US261635250001
321,0,0,0,0,0,0,0,17,0,0,3,0,37,6,15,109,0,20,55,59,0,0,0,0,1500000US261635250002
120,0,0,0,0,0,0,0,0,12,0,0,1,0,1,3,29,20,0,34,20,0,0,0,0,1500000US261635250003
483,0,0,0,0,0,0,0,0,17,0,9,14,31,33,0,175,27,8,116,29,23,1,0,0,1500000US261635254001
251,0,0,0,0,0,0,0,5,0,0,13,16,24,25,0,43,7,0,51,27,11,22,7,0,1500000US261635254002
756,8,0,0,0,0,21,0,0,27,8,31,32,45,107,35,146,44,50,105,52,34,6,5,0,1500000US261635254003
478,0,0,0,0,0,0,0,0,92,0,52,24,20,29,37,75,68,6,59,6,6,4,0,0,1500000US261635255001
294,43,0,0,0,0,0,0,0,24,4,0,9,0,12,15,114,46,0,9,18,0,0,0,0,1500000US261635255002
313,0,0,0,0,0,49,0,0,24,0,19,0,6,32,10,51,9,11,26,52,18,0,6,0,1500000US261635256001
554,25,0,0,0,13,10,0,12,73,38,23,0,77,64,15,126,6,22,31,12,7,0,0,0,1500000US261635256002
867,41,0,0,0,44,0,69,0,95,101,68,76,58,55,0,129,25,0,78,28,0,0,0,0,1500000US261635257001
456,0,0,0,0,15,0,0,11,10,0,0,34,60,30,21,173,36,15,0,14,37,0,0,0,1500000US261635257002
1286,44,0,0,23,132,69,12,0,117,0,74,104,55,65,59,380,42,14,55,19,22,0,0,0,1500000US261635257003
430,10,0,0,0,0,0,0,0,43,0,71,55,14,0,10,68,77,32,13,0,20,17,0,0,1500000US261635257004
381,0,0,0,18,0,0,0,0,55,0,51,14,12,23,37,111,6,21,0,14,0,13,6,0,1500000US261635258001
711,21,0,0,0,0,0,0,10,29,6,38,141,36,30,16,163,44,42,70,0,59,0,0,6,1500000US261635258002
947,94,0,0,31,0,0,27,15,58,34,71,55,62,34,22,134,133,15,83,56,16,7,0,0,1500000US261635260001
682,19,0,0,0,0,54,10,0,70,21,18,17,61,51,13,179,33,14,50,14,28,30,0,0,1500000US261635260002
392,31,0,0,0,7,8,0,7,12,36,13,0,0,67,42,58,5,19,72,7,8,0,0,0,1500000US261635261001
1028,128,0,0,0,0,12,0,55,84,36,12,23,51,48,86,206,59,31,121,22,6,22,4,22,1500000US261635261002
820,108,0,0,0,0,33,3,36,15,36,37,36,35,53,88,176,34,14,37,19,59,1,0,0,1500000US261635262001
407,32,0,0,0,0,9,0,0,46,45,11,66,30,16,11,80,4,0,38,9,10,0,0,0,1500000US261635262002
428,69,0,0,0,0,0,6,62,22,7,8,42,0,53,11,53,14,0,60,9,12,0,0,0,1500000US261635262003
556,8,0,0,0,0,0,0,16,82,20,0,85,75,10,75,105,18,0,41,0,21,0,0,0,1500000US261635263001
406,25,0,0,0,102,0,0,17,18,0,0,0,24,3,16,73,12,28,78,10,0,0,0,0,1500000US261635263002
964,45,0,0,0,0,0,24,0,82,0,119,145,17,32,0,198,77,67,69,23,66,0,0,0,1500000US261635263003
336,32,2,0,0,3,29,23,0,17,8,0,15,0,0,33,120,52,0,0,2,0,0,0,0,1500000US261635264001
367,0,0,0,0,0,0,18,17,17,0,28,98,19,31,9,22,22,13,66,0,7,0,0,0,1500000US261635264002
260,0,0,0,0,0,0,10,0,0,0,0,0,0,78,20,25,11,26,43,13,16,18,0,0,1500000US261635265001
604,17,0,0,0,0,0,0,0,54,0,3,27,44,60,0,145,0,33,156,27,38,0,0,0,1500000US261635265002
201,27,0,0,0,0,0,0,13,0,0,0,12,0,10,23,22,42,0,36,16,0,0,0,0,1500000US261635265003
286,38,0,0,0,0,0,0,0,0,0,9,0,11,16,6,64,29,8,72,16,17,0,0,0,1500000US261635272001
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,65,0,5,10,7,5,12,0,6,1500000US261635272002
220,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,61,3,5,61,13,60,0,0,0,1500000US261635273001
310,0,0,0,0,0,0,0,8,10,0,11,0,23,36,23,61,15,34,43,25,11,0,5,5,1500000US261635273002
480,8,0,0,0,0,0,0,0,0,24,0,0,10,102,14,64,52,117,50,23,0,7,0,9,1500000US261635301001
249,0,0,0,0,0,0,0,0,0,0,0,0,3,45,0,75,57,22,24,23,0,0,0,0,1500000US261635301002
588,0,0,0,0,0,0,0,0,0,0,0,26,0,56,1,172,33,44,132,30,18,57,7,12,1500000US261635301003
276,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,117,0,34,113,0,0,0,0,0,1500000US261635301004
768,0,0,0,0,0,0,0,0,0,1,22,0,0,0,18,362,50,55,99,34,100,27,0,0,1500000US261635302001
597,0,0,0,0,0,0,0,0,0,0,0,0,18,63,33,175,20,70,160,33,0,25,0,0,1500000US261635302002
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,11,33,7,0,9,0,0,1500000US261635302003
498,0,0,0,0,0,0,0,0,0,0,8,0,10,32,50,133,25,34,45,0,83,78,0,0,1500000US261635302004
293,0,0,0,0,0,0,0,27,0,0,0,45,14,0,0,61,35,24,44,0,25,18,0,0,1500000US261635302005
205,0,0,0,0,0,0,0,0,17,0,0,0,15,13,0,27,21,9,33,14,43,13,0,0,1500000US261635303001
252,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,108,19,7,67,9,7,18,0,0,1500000US261635303002
367,13,0,0,0,0,0,0,0,0,0,8,0,10,22,0,155,21,27,74,19,12,6,0,0,1500000US261635303003
221,9,0,0,0,0,0,0,0,0,0,6,0,14,0,7,79,5,63,27,11,0,0,0,0,1500000US261635304001
452,19,0,0,0,0,7,0,0,0,0,0,9,31,37,9,135,63,25,65,0,3,39,3,7,1500000US261635304002
393,0,0,0,0,0,0,0,0,0,0,0,23,0,24,0,96,27,7,107,39,41,17,12,0,1500000US261635305001
525,0,0,0,0,0,0,0,0,0,1,2,0,0,64,0,106,14,38,154,39,74,33,0,0,1500000US261635305002
293,0,0,0,0,0,0,0,0,0,0,13,10,22,16,8,85,20,0,68,5,26,20,0,0,1500000US261635305003
264,11,0,0,0,0,0,0,0,0,0,0,24,25,12,7,44,19,33,43,41,5,0,0,0,1500000US261635308001
205,3,0,0,0,0,0,0,0,0,4,0,21,0,54,0,12,28,21,23,28,6,5,0,0,1500000US261635308002
201,10,0,0,0,0,0,0,0,0,0,11,0,31,0,0,78,24,0,32,0,0,6,9,0,1500000US261635308003
251,14,0,0,0,0,0,0,0,0,0,0,0,23,31,16,33,44,15,68,5,0,2,0,0,1500000US261635308004
346,41,0,0,0,0,0,0,0,0,0,0,0,42,26,0,0,65,0,60,60,20,32,0,0,1500000US261635309001
605,0,0,0,0,0,0,0,0,0,0,0,62,60,103,80,131,32,18,50,57,0,12,0,0,1500000US261635309002
192,6,0,0,0,0,0,0,0,0,0,0,0,12,0,0,65,9,18,55,27,0,0,0,0,1500000US261635309003
388,7,0,0,0,0,0,0,0,0,0,0,0,0,0,27,125,49,12,96,27,24,0,6,15,1500000US261635311001
325,0,0,0,0,0,0,0,0,0,0,0,7,19,12,7,104,8,37,105,19,7,0,0,0,1500000US261635311002
623,0,0,0,0,0,0,0,0,0,0,0,32,11,12,0,81,16,35,131,74,57,150,24,0,1500000US261635312001
287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,11,33,74,0,62,31,7,7,1500000US261635312002
731,1,0,0,0,0,0,0,0,0,0,0,0,3,29,12,176,18,12,191,54,165,50,13,7,1500000US261635312003
