Estimate!!Total,GEO_ID
1104,1500000US261635160001
254,1500000US261635160002
478,1500000US261635160003
394,1500000US261635160004
217,1500000US261635161001
359,1500000US261635161002
237,1500000US261635162001
408,1500000US261635162002
720,1500000US261635163001
581,1500000US261635164001
274,1500000US261635164002
1901,1500000US261635165001
1655,1500000US261635166001
879,1500000US261635166002
2260,1500000US261635167001
934,1500000US261635167002
477,1500000US261635168001
471,1500000US261635168002
2052,1500000US261635169001
3111,1500000US261635170001
1167,1500000US261635171001
895,1500000US261635172001
1576,1500000US261635172002
1385,1500000US261635173001
1051,1500000US261635173002
897,1500000US261635175001
1307,1500000US261635175002
487,1500000US261635175003
1227,1500000US261635180001
1636,1500000US261635180002
181,1500000US261635184001
88,1500000US261635184002
228,1500000US261635185001
605,1500000US261635185002
227,1500000US261635186001
146,1500000US261635186002
272,1500000US261635188001
293,1500000US261635188002
1855,1500000US261635189001
1517,1500000US261635202001
1621,1500000US261635202002
1996,1500000US261635203001
628,1500000US261635203002
1941,1500000US261635204001
1171,1500000US261635207001
1665,1500000US261635207002
1728,1500000US261635208001
826,1500000US261635211001
1123,1500000US261635211002
889,1500000US261635213001
1147,1500000US261635214001
679,1500000US261635215001
835,1500000US261635215002
1625,1500000US261635218001
785,1500000US261635219001
1194,1500000US261635219002
1126,1500000US261635219003
1936,1500000US261635220001
237,1500000US261635221001
425,1500000US261635221002
242,1500000US261635222001
148,1500000US261635222002
290,1500000US261635223001
976,1500000US261635223002
151,1500000US261635224001
821,1500000US261635224002
528,1500000US261635225001
639,1500000US261635225002
605,1500000US261635225003
1480,1500000US261635231001
1848,1500000US261635232001
2108,1500000US261635232002
831,1500000US261635233001
1761,1500000US261635233002
758,1500000US261635233003
1115,1500000US261635234001
997,1500000US261635234002
811,1500000US261635238001
639,1500000US261635238002
1091,1500000US261635238003
2142,1500000US261635238004
1408,1500000US261635240001
494,1500000US261635240002
1410,1500000US261635240003
719,1500000US261635241001
955,1500000US261635241002
1338,1500000US261635241003
683,1500000US261635241004
1239,1500000US261635242001
637,1500000US261635242002
587,1500000US261635242003
707,1500000US261635242004
1078,1500000US261635242005
1131,1500000US261635242006
668,1500000US261635243001
1237,1500000US261635243002
999,1500000US261635243003
32,1500000US261635245001
81,1500000US261635245002
293,1500000US261635247001
776,1500000US261635247002
704,1500000US261635247003
527,1500000US261635247004
617,1500000US261635247005
1016,1500000US261635247006
552,1500000US261635248001
666,1500000US261635248002
435,1500000US261635248003
242,1500000US261635248004
737,1500000US261635248005
749,1500000US261635249001
430,1500000US261635249002
0,1500000US261635250001
411,1500000US261635250002
221,1500000US261635250003
839,1500000US261635254001
461,1500000US261635254002
1069,1500000US261635254003
648,1500000US261635255001
529,1500000US261635255002
618,1500000US261635256001
933,1500000US261635256002
1808,1500000US261635257001
797,1500000US261635257002
1971,1500000US261635257003
796,1500000US261635257004
761,1500000US261635258001
1285,1500000US261635258002
1718,1500000US261635260001
1404,1500000US261635260002
1013,1500000US261635261001
2183,1500000US261635261002
1611,1500000US261635262001
866,1500000US261635262002
808,1500000US261635262003
974,1500000US261635263001
860,1500000US261635263002
1851,1500000US261635263003
694,1500000US261635264001
662,1500000US261635264002
389,1500000US261635265001
1132,1500000US261635265002
300,1500000US261635265003
494,1500000US261635272001
155,1500000US261635272002
399,1500000US261635273001
615,1500000US261635273002
704,1500000US261635301001
366,1500000US261635301002
771,1500000US261635301003
330,1500000US261635301004
1389,1500000US261635302001
921,1500000US261635302002
139,1500000US261635302003
1509,1500000US261635302004
340,1500000US261635302005
281,1500000US261635303001
329,1500000US261635303002
702,1500000US261635303003
398,1500000US261635304001
647,1500000US261635304002
490,1500000US261635305001
890,1500000US261635305002
435,1500000US261635305003
321,1500000US261635308001
495,1500000US261635308002
298,1500000US261635308003
417,1500000US261635308004
535,1500000US261635309001
854,1500000US261635309002
237,1500000US261635309003
578,1500000US261635311001
373,1500000US261635311002
902,1500000US261635312001
407,1500000US261635312002
1267,1500000US261635312003
481,1500000US261635313001
563,1500000US261635313002
380,1500000US261635314001
826,1500000US261635314002
417,1500000US261635315001
938,1500000US261635315002
1197,1500000US261635315003
163,1500000US261635315004
761,1500000US261635316001
1094,1500000US261635316002
648,1500000US261635317001
905,1500000US261635317002
350,1500000US261635318001
477,1500000US261635318002
454,1500000US261635318003
178,1500000US261635319001
726,1500000US261635319002
322,1500000US261635322001
877,1500000US261635322002
727,1500000US261635323001
301,1500000US261635324001
613,1500000US261635324002
498,1500000US261635324003
641,1500000US261635326001
1086,1500000US261635326002
242,1500000US261635326003
413,1500000US261635327001
201,1500000US261635327002
713,1500000US261635330001
921,1500000US261635330002
634,1500000US261635331001
512,1500000US261635331002
281,1500000US261635331003
214,1500000US261635332001
295,1500000US261635332002
318,1500000US261635332003
100,1500000US261635333001
923,1500000US261635333002
439,1500000US261635334001
546,1500000US261635334002
162,1500000US261635334003
748,1500000US261635334004
276,1500000US261635334005
530,1500000US261635335001
665,1500000US261635335002
403,1500000US261635336001
438,1500000US261635336002
833,1500000US261635336003
709,1500000US261635337001
190,1500000US261635337002
1087,1500000US261635339001
410,1500000US261635339002
1302,1500000US261635339003
338,1500000US261635341001
533,1500000US261635341002
719,1500000US261635341003
883,1500000US261635342001
405,1500000US261635342002
775,1500000US261635342003
241,1500000US261635342004
1094,1500000US261635342005
598,1500000US261635343001
879,1500000US261635343002
820,1500000US261635344001
898,1500000US261635344002
355,1500000US261635345001
328,1500000US261635345002
524,1500000US261635346001
329,1500000US261635346002
981,1500000US261635346003
793,1500000US261635347001
1117,1500000US261635347002
529,1500000US261635347003
984,1500000US261635347004
668,1500000US261635350001
788,1500000US261635350002
1285,1500000US261635350003
543,1500000US261635351001
1194,1500000US261635351002
566,1500000US261635352001
158,1500000US261635352002
715,1500000US261635352003
609,1500000US261635352004
820,1500000US261635353001
717,1500000US261635353002
326,1500000US261635353003
1194,1500000US261635353004
1138,1500000US261635353005
859,1500000US261635354001
576,1500000US261635354002
1241,1500000US261635355001
961,1500000US261635355002
1198,1500000US261635355003
1920,1500000US261635356001
739,1500000US261635356002
645,1500000US261635356003
1059,1500000US261635356004
612,1500000US261635357001
510,1500000US261635357002
1036,1500000US261635361001
891,1500000US261635361002
985,1500000US261635361003
488,1500000US261635361004
756,1500000US261635362001
1559,1500000US261635362002
385,1500000US261635363001
281,1500000US261635363002
814,1500000US261635363003
584,1500000US261635363004
217,1500000US261635363005
464,1500000US261635363006
132,1500000US261635364001
560,1500000US261635364002
590,1500000US261635364003
992,1500000US261635364004
563,1500000US261635365001
397,1500000US261635365002
522,1500000US261635365003
856,1500000US261635365004
296,1500000US261635366001
643,1500000US261635366002
462,1500000US261635366003
689,1500000US261635366004
393,1500000US261635366005
462,1500000US261635367001
494,1500000US261635367002
1043,1500000US261635368001
760,1500000US261635368002
643,1500000US261635369001
900,1500000US261635369002
1481,1500000US261635369003
211,1500000US261635369004
1352,1500000US261635370001
785,1500000US261635370002
1262,1500000US261635370003
239,1500000US261635371001
618,1500000US261635371002
1418,1500000US261635371003
247,1500000US261635372001
345,1500000US261635372002
585,1500000US261635373001
335,1500000US261635373002
552,1500000US261635373003
255,1500000US261635373004
514,1500000US261635375001
613,1500000US261635375002
479,1500000US261635375003
847,1500000US261635375004
611,1500000US261635375005
767,1500000US261635376001
505,1500000US261635376002
2383,1500000US261635376003
1302,1500000US261635377001
747,1500000US261635377002
1034,1500000US261635377003
372,1500000US261635378001
766,1500000US261635378002
308,1500000US261635378003
1028,1500000US261635381001
1301,1500000US261635381002
1111,1500000US261635382001
1103,1500000US261635382002
1131,1500000US261635383001
998,1500000US261635383002
1019,1500000US261635384001
1030,1500000US261635384002
1057,1500000US261635384003
1329,1500000US261635384004
340,1500000US261635385001
397,1500000US261635385002
632,1500000US261635385003
256,1500000US261635385004
459,1500000US261635385005
709,1500000US261635385006
1865,1500000US261635385007
943,1500000US261635386001
703,1500000US261635386002
965,1500000US261635386003
787,1500000US261635386004
727,1500000US261635386005
1433,1500000US261635386006
1033,1500000US261635387001
1413,1500000US261635387002
2076,1500000US261635387003
857,1500000US261635388001
800,1500000US261635388002
824,1500000US261635389001
1009,1500000US261635389002
900,1500000US261635389003
686,1500000US261635389004
878,1500000US261635390001
534,1500000US261635390002
545,1500000US261635390003
821,1500000US261635390004
686,1500000US261635391001
1078,1500000US261635391002
584,1500000US261635392001
1913,1500000US261635392002
890,1500000US261635392003
275,1500000US261635392004
783,1500000US261635392005
1097,1500000US261635392006
721,1500000US261635393001
778,1500000US261635393002
1091,1500000US261635393003
1500,1500000US261635393004
1401,1500000US261635394001
1256,1500000US261635394002
1413,1500000US261635394003
518,1500000US261635395001
513,1500000US261635395002
1168,1500000US261635395003
1084,1500000US261635395004
980,1500000US261635396001
1135,1500000US261635396002
1414,1500000US261635396003
781,1500000US261635397001
1213,1500000US261635397002
1259,1500000US261635401001
822,1500000US261635401002
321,1500000US261635401003
536,1500000US261635401004
672,1500000US261635402001
542,1500000US261635402002
623,1500000US261635402003
474,1500000US261635402004
212,1500000US261635402005
822,1500000US261635402006
357,1500000US261635403001
1029,1500000US261635403002
348,1500000US261635403003
707,1500000US261635403004
1083,1500000US261635403005
374,1500000US261635404001
879,1500000US261635404002
934,1500000US261635404003
696,1500000US261635404004
1371,1500000US261635405001
602,1500000US261635405002
779,1500000US261635405003
604,1500000US261635405004
1033,1500000US261635406001
611,1500000US261635406002
745,1500000US261635406003
981,1500000US261635406004
256,1500000US261635407001
549,1500000US261635407002
1154,1500000US261635407003
1577,1500000US261635407004
662,1500000US261635408001
1778,1500000US261635408002
1074,1500000US261635409001
915,1500000US261635409002
479,1500000US261635409003
1009,1500000US261635409004
1268,1500000US261635410001
1750,1500000US261635410002
1158,1500000US261635410003
487,1500000US261635411001
436,1500000US261635411002
309,1500000US261635411003
766,1500000US261635411004
361,1500000US261635411005
559,1500000US261635412001
990,1500000US261635412002
361,1500000US261635412003
364,1500000US261635412004
1035,1500000US261635413001
1057,1500000US261635413002
780,1500000US261635413003
494,1500000US261635414001
1189,1500000US261635414002
1210,1500000US261635414003
782,1500000US261635415001
1040,1500000US261635415002
721,1500000US261635415003
1642,1500000US261635415004
686,1500000US261635417001
1815,1500000US261635417002
1079,1500000US261635418001
1294,1500000US261635418002
1115,1500000US261635421001
522,1500000US261635421002
566,1500000US261635421003
421,1500000US261635421004
1101,1500000US261635421005
379,1500000US261635421006
540,1500000US261635422001
837,1500000US261635422002
570,1500000US261635422003
788,1500000US261635422004
509,1500000US261635422005
763,1500000US261635423001
543,1500000US261635423002
683,1500000US261635423003
