Median age,Median age - Male,Median age - Female,id
44.6,45.5,44.4,1500000US261635394003
44.6,46.3,30.6,1500000US261635395001
50.1,50.4,47.7,1500000US261635395002
33,25,38.4,1500000US261635395003
49.7,49.2,57.3,1500000US261635395004
40.3,46.7,26.9,1500000US261635396001
41.7,38.1,42,1500000US261635396002
50.9,51.3,50,1500000US261635396003
56.8,48.3,63.5,1500000US261635397001
47.7,53.1,46,1500000US261635397002
41.9,35.8,42.5,1500000US261635401001
39.5,38,41.3,1500000US261635401002
40.1,-,20.9,1500000US261635401003
29.6,29.5,32.2,1500000US261635401004
40.9,46.5,40.5,1500000US261635402001
31.3,27.7,35.7,1500000US261635402002
38.9,37.9,46.7,1500000US261635402003
28.4,28.1,38.2,1500000US261635402004
25.5,25.2,28.3,1500000US261635402005
15.1,25.5,11,1500000US261635402006
26.5,17.6,50,1500000US261635403001
32.5,18,39.6,1500000US261635403002
35.1,18.7,52.3,1500000US261635403003
30.5,28.4,41.7,1500000US261635403004
27.7,27.5,29.5,1500000US261635403005
47.2,41.8,53.7,1500000US261635404001
37.9,37.4,38.6,1500000US261635404002
10.8,10.3,17.2,1500000US261635404003
53.5,56.7,51.3,1500000US261635404004
44.1,38.3,48.1,1500000US261635405001
50.5,33.2,52.4,1500000US261635405002
35.1,27.8,35.9,1500000US261635405003
40.5,50.2,40.3,1500000US261635405004
44.6,47.5,39,1500000US261635406001
41,29.7,43.4,1500000US261635406002
53.7,41.7,60.9,1500000US261635406003
34,38.4,33.2,1500000US261635406004
54,44.7,59.7,1500000US261635407001
29.4,22.8,49.9,1500000US261635407002
34.4,40.7,32.1,1500000US261635407003
37.2,24.5,43.3,1500000US261635407004
57.8,55.5,59.4,1500000US261635408001
29.7,24.8,35.8,1500000US261635408002
36.9,51.5,35.6,1500000US261635409001
47.1,42.7,47.4,1500000US261635409002
60.9,68.8,60.4,1500000US261635409003
26.4,19.6,27.1,1500000US261635409004
39.7,26.3,51.3,1500000US261635410001
34,33.6,34.9,1500000US261635410002
28.8,30,28.8,1500000US261635410003
40.6,40.6,40.6,1500000US261635411001
48,19.6,55.3,1500000US261635411002
57.1,42.2,59.8,1500000US261635411003
38.5,35.8,46.1,1500000US261635411004
19.9,28.3,19.6,1500000US261635411005
25.7,19.1,26.5,1500000US261635412001
37.8,36.1,40.4,1500000US261635412002
35.4,41.6,32.5,1500000US261635412003
51,45.9,51.6,1500000US261635412004
26.6,24.8,38.3,1500000US261635413001
31.6,32.2,28.4,1500000US261635413002
31.4,43.9,29.4,1500000US261635413003
49,48.4,54.4,1500000US261635414001
31.9,22.3,40.3,1500000US261635414002
32.3,28.3,49.5,1500000US261635414003
29.2,29.3,29.1,1500000US261635415001
38.6,27.1,39.4,1500000US261635415002
32.1,35.8,23.4,1500000US261635415003
42.4,43.6,38.6,1500000US261635415004
42.3,39.4,48.6,1500000US261635417001
43.6,41.7,44.6,1500000US261635417002
52.7,42.6,58.5,1500000US261635418001
50.3,47.7,54.8,1500000US261635418002
43.1,43.6,42.4,1500000US261635421001
48.8,49.4,42.5,1500000US261635421002
38.9,38.6,53.2,1500000US261635421003
47.9,47.7,56.3,1500000US261635421004
39,27.5,39.9,1500000US261635421005
47.4,52.4,46.7,1500000US261635421006
42,41.4,50,1500000US261635422001
40.7,39.9,47.2,1500000US261635422002
28.8,17.8,37.2,1500000US261635422003
50.5,52.4,49.4,1500000US261635422004
57.2,55.5,59.1,1500000US261635422005
39.3,47.3,35.1,1500000US261635423001
43.6,29.4,49.4,1500000US261635423002
34.9,29.8,44.1,1500000US261635423003
29.5,20.9,39.4,1500000US261635424001
42.7,42.1,44.4,1500000US261635424002
30.8,20.7,43.4,1500000US261635424003
38.2,21.2,42.3,1500000US261635425001
34.3,31.4,43.5,1500000US261635425002
49.5,50.4,49.1,1500000US261635425003
23.9,25.7,23,1500000US261635426001
33.1,17.7,35.3,1500000US261635426002
27,20.2,34.1,1500000US261635426003
40.3,41,28.4,1500000US261635426004
29.3,26.3,35.5,1500000US261635427001
51.5,62.4,42.8,1500000US261635428001
38.3,39.9,35.1,1500000US261635428002
34.9,34.3,41.2,1500000US261635428003
40.3,40.2,40.6,1500000US261635429001
52.1,43.2,52.5,1500000US261635429002
37.3,26.4,45,1500000US261635429003
49.4,43.9,49.6,1500000US261635429004
34.8,32.5,39.3,1500000US261635430001
55.1,55.1,55.1,1500000US261635430002
51.8,55.4,48.2,1500000US261635431001
40,36.9,41.2,1500000US261635431002
37.3,36.3,42.4,1500000US261635432001
53.7,53.8,53.6,1500000US261635432002
29.8,34.9,29.3,1500000US261635432003
41.3,40.6,50.7,1500000US261635434001
41.6,24.9,43.5,1500000US261635434002
52.2,55.5,51.5,1500000US261635434003
43,45.2,37.3,1500000US261635435001
23.2,13.8,26.3,1500000US261635435002
41.5,38.6,64.9,1500000US261635436001
29.9,33.6,29.1,1500000US261635436002
28.8,19.7,30.2,1500000US261635436003
21.9,15.9,21.9,1500000US261635437001
19.5,11.9,24.4,1500000US261635437002
48.6,48.3,51.1,1500000US261635437003
28.7,28.5,29,1500000US261635438001
36.4,49,29.3,1500000US261635438002
38,49.3,36.6,1500000US261635439001
31.6,39,29.1,1500000US261635439002
43.1,34,50.6,1500000US261635440001
35.4,31,35.9,1500000US261635440002
31.2,20.4,34.9,1500000US261635441001
29.3,33.5,25.7,1500000US261635441002
25.3,23.8,25.6,1500000US261635441003
33.4,61.1,28.7,1500000US261635442001
30.2,30.6,28.6,1500000US261635442002
34.8,42.3,26.9,1500000US261635442003
28,28.1,20.9,1500000US261635443001
48.7,48.7,58.1,1500000US261635443002
26.8,33.4,24.2,1500000US261635443003
42.4,35.9,47.1,1500000US261635451001
47.8,48,47.5,1500000US261635451002
50.5,51.2,50,1500000US261635451003
32.6,34,32.5,1500000US261635452001
45.8,33.7,53.1,1500000US261635452002
27.3,18.8,32.7,1500000US261635452003
53.2,58.1,46.7,1500000US261635452004
65.5,63.3,67.4,1500000US261635453001
27.5,30,25.3,1500000US261635453002
28.3,24.2,33.4,1500000US261635453003
24.8,14.1,28.9,1500000US261635454001
29.4,25.1,30.7,1500000US261635455001
31.5,31.8,26.5,1500000US261635455002
30.9,41.6,30.3,1500000US261635455003
23.7,26.5,23.3,1500000US261635455004
26.4,31,15.4,1500000US261635455005
32,20.2,46.2,1500000US261635455006
26.6,26.7,21.8,1500000US261635456001
37,36.4,37.6,1500000US261635456002
21.8,18.2,31.3,1500000US261635456003
25.7,25.1,30.1,1500000US261635456004
22,21.8,39.5,1500000US261635456005
26.4,24.1,30.2,1500000US261635457001
30,25.7,30.9,1500000US261635457002
32.1,19.9,49.3,1500000US261635458001
25.7,25.7,25.7,1500000US261635458002
24.6,27.8,23.3,1500000US261635458003
28.1,28.6,27.2,1500000US261635458004
26.2,24.3,26.7,1500000US261635458005
26.2,32.6,25.3,1500000US261635459001
23.4,26.5,16.5,1500000US261635459002
28.1,15,28.8,1500000US261635459003
27.4,10.1,35.1,1500000US261635459004
32.4,27.2,43.3,1500000US261635459005
44.9,48.5,44.5,1500000US261635460001
26.3,16.7,31.1,1500000US261635460002
29.4,6.5,38.3,1500000US261635460003
37.4,41.2,13.8,1500000US261635460004
30.1,24.9,32.2,1500000US261635460005
37.9,38.2,30.8,1500000US261635461001
26.2,21.6,29.4,1500000US261635461002
34.5,35,26.3,1500000US261635461003
29.8,31.6,29.3,1500000US261635461004
53.1,53.3,47.3,1500000US261635461005
18.4,15.2,20.5,1500000US261635462001
35.6,43.3,32.1,1500000US261635462002
25,25,25,1500000US261635462003
18.5,30.3,14.5,1500000US261635462004
38.7,22.6,40.4,1500000US261635463001
42.1,44.5,34.6,1500000US261635463002
27.7,27.9,27.5,1500000US261635464001
34.9,34.6,42.7,1500000US261635464002
49.8,40.2,51.6,1500000US261635465001
29.9,29.2,32.4,1500000US261635465002
29.9,26.9,42.6,1500000US261635466001
31.2,32.8,27.7,1500000US261635466002
37.3,40.5,30,1500000US261635466003
23.2,31.5,14.9,1500000US261635467001
51.6,51.2,64,1500000US261635467002
40.3,31.6,40.9,1500000US261635467003
35.4,35,35.6,1500000US261635467004
48.4,48.7,47.7,1500000US261635467005
32.6,28.5,32.6,1500000US261635468001
22.1,25.5,17.8,1500000US261635468002
46.5,46.5,46.4,1500000US261635468003
22.3,25.3,20.8,1500000US261635468004
34.2,16.9,44.2,1500000US261635469001
43.5,45.1,40.8,1500000US261635501001
50.1,50.9,48.2,1500000US261635501002
37.2,25.8,40.6,1500000US261635501003
60.8,57.1,63.8,1500000US261635501004
42.8,47.4,41.5,1500000US261635501005
39.5,36.6,41.2,1500000US261635502001
40.8,40.2,45.1,1500000US261635502002
33.6,31.8,34.3,1500000US261635502003
43.2,42,45,1500000US261635503001
47.3,47.7,47.1,1500000US261635503002
47.5,44.7,52.2,1500000US261635504001
57.8,54.6,58.6,1500000US261635504002
56.7,56.2,57.8,1500000US261635505001
42.2,35.9,46.7,1500000US261635505002
44.1,46.5,39.8,1500000US261635505003
47.6,44.8,55.2,1500000US261635506001
38.3,35.1,44.3,1500000US261635506002
50.1,48.8,50.6,1500000US261635506003
42.8,47.4,40.6,1500000US261635507001
48.3,54.7,45.6,1500000US261635507002
34.6,30.5,39.3,1500000US261635507003
35,32.6,35.4,1500000US261635507004
47.1,51.1,43.4,1500000US261635507005
40.9,48.7,35.6,1500000US261635507006
55.6,53.8,57.9,1500000US261635508001
50.1,42,56.5,1500000US261635508002
55.1,54.8,55.3,1500000US261635509001
43.9,44.8,43.3,1500000US261635509002
57.3,59,56.9,1500000US261635509003
50,49.5,50.2,1500000US261635511001
50.9,48.1,52.9,1500000US261635511002
49.4,52.1,47.5,1500000US261635511003
54.6,56,53.4,1500000US261635511004
50,51.3,48.2,1500000US261635512001
38.4,40.5,35.1,1500000US261635512002
40,43.3,38.6,1500000US261635512003
33.1,26.1,47.6,1500000US261635512004
43.6,39.4,44.2,1500000US261635512005
54.6,49.4,56.5,1500000US261635513001
42.6,41.3,44,1500000US261635513002
38.9,32.5,47.2,1500000US261635513003
40.5,39.2,46.6,1500000US261635513004
42.8,27.4,49.7,1500000US261635514001
46.8,43.5,52.4,1500000US261635514002
33.2,18.6,40.1,1500000US261635514003
34.5,34.1,36.3,1500000US261635514004
30.8,33.9,29.8,1500000US261635515001
48.4,45.8,48.9,1500000US261635515002
30.1,27.7,43.7,1500000US261635516001
25.5,24,31.5,1500000US261635516002
40.4,27.9,51.1,1500000US261635516003
44.4,38.8,46.5,1500000US261635517001
55.4,39.3,56.8,1500000US261635517002
49.2,40.4,55.8,1500000US261635517003
38,36.1,38.5,1500000US261635518001
51.8,49.2,55.5,1500000US261635518002
32.3,30.8,36.2,1500000US261635518003
30.7,30.3,30.9,1500000US261635520001
30.5,32.9,29.9,1500000US261635520002
30.9,32.4,30.1,1500000US261635521001
40.9,40.2,50.3,1500000US261635521002
29.1,25.9,29.8,1500000US261635521003
24.2,22.8,24.6,1500000US261635521004
28.1,25,31.2,1500000US261635521005
28.2,30.4,26.9,1500000US261635522001
34.1,26.3,38.1,1500000US261635522002
23.7,25.2,23.4,1500000US261635522003
29,26.3,32.3,1500000US261635523001
23,21.1,24.1,1500000US261635523002
27.9,27.7,32.3,1500000US261635523003
28.5,29.4,28,1500000US261635524001
30.6,26,31.7,1500000US261635524002
30.8,30.8,-,1500000US261635528001
18.9,10.6,24,1500000US261635528002
19.3,18,20,1500000US261635528003
26.6,27.2,26.2,1500000US261635528004
21.7,21.8,21.7,1500000US261635528005
26.6,25.5,42.3,1500000US261635530001
57.6,58.7,57.3,1500000US261635530002
65.1,30.6,65.4,1500000US261635531001
28.9,25,46.1,1500000US261635531002
34.6,49.7,27.5,1500000US261635531003
41.8,48.3,41,1500000US261635532001
28.3,19.3,41.8,1500000US261635532002
40,58.1,32.9,1500000US261635533001
17.5,17,23.9,1500000US261635533002
46.7,21.9,46.9,1500000US261635534001
45.8,27.1,46.9,1500000US261635534002
36.7,30.4,44.5,1500000US261635536001
56.1,54.4,62.4,1500000US261635536002
33.6,25.9,46.9,1500000US261635536003
29.6,29.4,36.7,1500000US261635538001
28.4,43.5,25,1500000US261635538002
47.6,38.9,52.2,1500000US261635538003
34.5,22.3,38.9,1500000US261635541001
38,43.5,35.6,1500000US261635541002
46.7,33.7,57.1,1500000US261635541003
40,40.4,34.9,1500000US261635541004
43.6,45.2,43.2,1500000US261635542001
37.6,39.2,37.1,1500000US261635542002
35.2,33.4,50.1,1500000US261635542003
29.7,36.2,25.6,1500000US261635542004
45.4,31.4,48.4,1500000US261635543001
50,49.6,50.5,1500000US261635543002
44.4,37.1,47.3,1500000US261635543003
32.6,33.9,32.3,1500000US261635543004
39.7,42.3,39.3,1500000US261635543005
56.2,54.5,61.3,1500000US261635544001
30.8,29.6,46.8,1500000US261635544002
39.3,39.3,39.3,1500000US261635544003
41,37.3,41.9,1500000US261635544004
39.8,39.2,42.8,1500000US261635545001
32.1,33.6,27.4,1500000US261635545002
44.1,37.7,48.7,1500000US261635546001
29.8,26.3,30.3,1500000US261635546002
45.8,39.6,48.9,1500000US261635546003
41,40.1,41.1,1500000US261635546004
40.5,36.5,48.4,1500000US261635547001
38.9,33.9,44.1,1500000US261635547002
41.6,36.1,45.8,1500000US261635547003
51.5,46.5,55.6,1500000US261635548001
53.3,45.1,54.4,1500000US261635548002
35.5,40.8,32.8,1500000US261635548003
48.7,47.9,48.8,1500000US261635548004
44.9,46.2,42,1500000US261635549001
21.1,17,36.7,1500000US261635549002
41.1,35.5,42.1,1500000US261635549003
44.2,50.3,36.5,1500000US261635551001
44.5,38.8,50.4,1500000US261635551002
33.1,34,30.9,1500000US261635551003
36.5,33.3,37.3,1500000US261635551004
38,32.8,40.1,1500000US261635553001
33.7,32.8,38.6,1500000US261635553002
44.4,43.8,44.5,1500000US261635554001
25.5,25.6,24,1500000US261635554002
52.4,53.3,52.2,1500000US261635554003
32.1,23.7,40.3,1500000US261635555001
46.8,46,47.3,1500000US261635555002
40.3,32.8,42.8,1500000US261635556001
40.2,46.1,31.3,1500000US261635556002
44.9,43.9,47.2,1500000US261635561001
42,48.1,40.9,1500000US261635561002
32.1,39.5,28.6,1500000US261635561003
35.6,39.6,34.8,1500000US261635561004
58.6,56.2,62.4,1500000US261635562001
44,40,52.7,1500000US261635562002
34.2,34.4,32.9,1500000US261635562003
54.8,57.2,54.6,1500000US261635563001
49.5,49.9,47.5,1500000US261635563002
47.5,47,47.9,1500000US261635563003
41.6,54.5,37.4,1500000US261635564001
54.6,55.7,53.3,1500000US261635564002
52.6,47.8,56,1500000US261635564003
56.1,53.6,57.6,1500000US261635565001
58.3,55.3,59.5,1500000US261635566001
50.7,49.7,51.2,1500000US261635566002
45,47.1,43.9,1500000US261635566003
45.5,44.7,51.2,1500000US261635567001
55.4,53.5,55.7,1500000US261635567002
51.1,51.4,50.7,1500000US261635568001
50.2,49.8,50.3,1500000US261635568002
47.1,42.1,47.6,1500000US261635569001
38.8,35.8,39.3,1500000US261635569002
38.3,38.3,38.5,1500000US261635569003
32.8,37.1,32.4,1500000US261635570001
29.1,22.3,32.6,1500000US261635570002
41.8,38.6,46.6,1500000US261635570003
59.2,59.4,58.8,1500000US261635571001
30.5,27.3,32.6,1500000US261635571002
51.2,48.7,51.4,1500000US261635571003
59.8,49.2,67.8,1500000US261635572001
42.4,39.6,42.6,1500000US261635572002
47.3,46.9,51.5,1500000US261635573001
40.8,39.6,46.3,1500000US261635573002
47.3,45.8,48,1500000US261635574001
54.8,54.2,55.6,1500000US261635574002
39.9,39.9,39.9,1500000US261635575001
48.3,52,41.9,1500000US261635575002
49.9,49.9,49.9,1500000US261635575003
52.3,45.6,54.8,1500000US261635575004
50.9,47.8,51,1500000US261635576001
53.4,46.9,58.3,1500000US261635576002
49.7,40.4,54.4,1500000US261635576003
41.4,42.6,40.2,1500000US261635577001
50.3,47.2,54.8,1500000US261635577002
43.7,42.3,49.6,1500000US261635577003
53.1,52.3,53.7,1500000US261635577004
32.4,27.3,48,1500000US261635579001
59.4,58.6,59.9,1500000US261635579002
49.6,42.4,53,1500000US261635579003
34.2,30.8,39,1500000US261635580001
39.5,36.9,40.9,1500000US261635580002
48.3,47.1,48.8,1500000US261635580003
54.5,53.6,56,1500000US261635580004
40.8,37.5,46.9,1500000US261635581001
42,37,44.9,1500000US261635581002
49.8,54.1,49.5,1500000US261635581003
43.3,39.4,45.1,1500000US261635582001
41.8,45.2,39.6,1500000US261635582002
59.1,50.2,62.3,1500000US261635582003
35.7,34.1,37.6,1500000US261635582004
46.9,39,52.5,1500000US261635583001
52.3,37.5,54.8,1500000US261635583002
45.4,38.5,49.3,1500000US261635584001
47.3,46.7,49.1,1500000US261635584002
39.9,44.6,36.5,1500000US261635584003
55.2,54.3,55.5,1500000US261635585001
36.2,34.7,37,1500000US261635585002
37.8,38.3,37.4,1500000US261635585003
51.7,55.5,48.3,1500000US261635585004
51.7,47,54.8,1500000US261635586001
45.4,45.4,45.4,1500000US261635586002
42.3,45.2,41.2,1500000US261635587001
46.3,41.2,46.6,1500000US261635587002
36.7,39.2,36.2,1500000US261635587003
40,40.7,38.2,1500000US261635588001
43.9,44.4,41.9,1500000US261635588002
39,39,39,1500000US261635589001
43.4,44.7,37.8,1500000US261635589002
34.1,36,33.3,1500000US261635590001
38.8,38.4,41.9,1500000US261635590002
31.5,34.4,27.9,1500000US261635590003
36.2,40.1,34.5,1500000US261635591001
39.9,42.4,38.4,1500000US261635591002
38.9,34.4,43,1500000US261635592001
38,37.2,38.7,1500000US261635592002
47.6,49.7,40.8,1500000US261635601001
55.3,54,55.8,1500000US261635601002
49,49.4,47.7,1500000US261635601003
44.6,45.4,43.8,1500000US261635602001
45.8,54.4,45.2,1500000US261635602002
37.3,31.7,45.9,1500000US261635602003
37.6,35.9,40.1,1500000US261635602004
44.1,44.5,43.7,1500000US261635603001
43.2,38.8,43.7,1500000US261635603002
69.3,63.3,70.9,1500000US261635603003
56.2,49.1,60.4,1500000US261635604001
33.7,36,33.3,1500000US261635604002
47.8,47.8,44.9,1500000US261635604003
59.9,54,59.9,1500000US261635604004
39.1,30.3,45.1,1500000US261635604005
34.8,39.1,31.3,1500000US261635612001
44.7,38.7,47.6,1500000US261635612002
47.2,47.5,46.9,1500000US261635613001
46.1,43.5,46.3,1500000US261635613002
61.7,57.6,62.8,1500000US261635616001
49.9,49.2,55.6,1500000US261635616002
54.4,52.7,56.1,1500000US261635616003
41,55.2,-,1500000US261635617001
41.7,39.9,43.6,1500000US261635617002
47.4,47.1,47.6,1500000US261635619001
45.7,46,45.4,1500000US261635619002
55.5,49.9,55.8,1500000US261635619003
50.6,48.7,52.8,1500000US261635623001
50.6,48.2,54,1500000US261635623002
50.8,50.8,50.9,1500000US261635624001
51.1,49,53.3,1500000US261635624002
38.4,38.5,38.1,1500000US261635624003
57.1,58.9,53.8,1500000US261635624004
35.7,35.4,38.6,1500000US261635625001
42.5,41.3,52.3,1500000US261635625002
36.9,41.8,33.3,1500000US261635626001
47.4,47.3,53.2,1500000US261635626002
38.6,39,36.6,1500000US261635626003
39.6,45.9,36.8,1500000US261635627001
50.5,46,54.1,1500000US261635627002
47.7,48.8,46.3,1500000US261635627003
39.3,37.1,39.8,1500000US261635628001
41.5,31.8,44.4,1500000US261635628002
43.7,47.3,40.3,1500000US261635628003
40.2,40.5,38.1,1500000US261635629001
60,60.2,58.5,1500000US261635629002
45.1,43.1,52,1500000US261635629003
34.2,33.9,34.4,1500000US261635632001
27.1,26.6,27.9,1500000US261635632002
53.7,57.2,50.7,1500000US261635633001
35.9,31.8,37.1,1500000US261635633002
45.7,49.5,43.6,1500000US261635634001
34.1,30.9,34.2,1500000US261635634002
40.3,44.1,40.3,1500000US261635634003
41.2,38.6,42.6,1500000US261635634004
39.7,39.5,40.3,1500000US261635635001
44.1,43.8,45.5,1500000US261635635002
45,42.6,46.5,1500000US261635635003
41.5,44.2,40.9,1500000US261635636001
40.9,42.8,39.7,1500000US261635637001
38.5,38.3,38.5,1500000US261635637002
42.2,40.3,42.7,1500000US261635638001
41.6,45.7,35.5,1500000US261635638002
42.8,41,43.9,1500000US261635639001
67.7,67.8,67.4,1500000US261635640001
33.4,30.3,36,1500000US261635640002
45.5,44.1,51,1500000US261635641001
47.3,42.7,48.9,1500000US261635641002
34.1,34.3,32.8,1500000US261635641003
37.5,39.3,37.2,1500000US261635642001
39.1,38,40.1,1500000US261635642002
44.9,44.2,46.5,1500000US261635642003
48.5,44.7,53,1500000US261635643001
37.5,41.3,36.6,1500000US261635643002
45.4,45.6,45.3,1500000US261635644011
38.9,45.9,33.3,1500000US261635644012
34.5,35.5,33.4,1500000US261635644021
39.6,40.4,38.6,1500000US261635645011
55.8,54.6,56.8,1500000US261635645021
36.5,35.6,40.3,1500000US261635645022
40.2,35.6,43.1,1500000US261635645031
45.6,42.5,47.4,1500000US261635645032
38.9,37.7,40.4,1500000US261635645041
36.2,33.4,41.4,1500000US261635646001
44.1,40.8,44.6,1500000US261635646002
42.4,44,41.1,1500000US261635646003
31.8,29.4,35.2,1500000US261635647001
37,37.3,36.7,1500000US261635647002
48.1,49.3,44.8,1500000US261635648001
43.1,38.7,45.7,1500000US261635648002
46,46,46,1500000US261635648003
27.8,22.8,32.9,1500000US261635649001
36.5,34.7,37.2,1500000US261635650001
32.4,32.1,33.6,1500000US261635650002
39.3,39.8,39.1,1500000US261635650003
46.3,26.7,50.3,1500000US261635651001
40.3,36.6,42,1500000US261635651002
37,36.4,39.3,1500000US261635652001
47.8,52,38.2,1500000US261635652002
55.5,55.1,55.8,1500000US261635652003
42.3,42.7,37,1500000US261635653001
39.7,30.5,50.7,1500000US261635653002
27.6,29.5,27.6,1500000US261635653003
42.9,43.3,41.5,1500000US261635656001
38.9,39.5,38.8,1500000US261635656002
40.9,42.7,40.3,1500000US261635657001
47.4,49.1,47.3,1500000US261635657002
53.4,47.4,55.2,1500000US261635658001
36.4,37.8,32.3,1500000US261635658002
39.2,32.3,40.3,1500000US261635658003
38.9,41,37.7,1500000US261635659001
37.3,28.3,43.1,1500000US261635659002
39.3,34.1,43.7,1500000US261635664001
41.2,41.8,40.1,1500000US261635664002
50.7,52.4,48.6,1500000US261635665001
41.4,39.6,41.8,1500000US261635665002
57.5,56.9,59,1500000US261635666001
39.6,36.1,41.8,1500000US261635666002
35.8,53.1,34,1500000US261635667001
34.5,26.8,39,1500000US261635667002
33.6,35.8,31.2,1500000US261635667003
41.3,43.5,39.5,1500000US261635668001
51.5,54.2,51.3,1500000US261635668002
37.6,43.8,31.6,1500000US261635668003
39.7,39.7,39.8,1500000US261635669001
32.2,16.8,37.2,1500000US261635669002
40.7,38.4,40.9,1500000US261635669003
43.3,47.1,41.6,1500000US261635669004
36.6,28.7,38.5,1500000US261635670001
38.7,30.8,42.9,1500000US261635670002
39.8,31.5,45.3,1500000US261635670003
46.4,28,52.8,1500000US261635671001
32.9,32.5,33.4,1500000US261635671002
42.5,42.4,47.3,1500000US261635671003
32.5,31.7,33,1500000US261635672011
36,34.5,40.2,1500000US261635672012
39.9,47,37.4,1500000US261635672013
33.4,26.8,40.3,1500000US261635672021
41.9,42.5,40.4,1500000US261635672022
41.1,45.9,35.4,1500000US261635673001
40.3,40.9,37.1,1500000US261635673002
41.5,36,46.5,1500000US261635673003
43.5,53.5,40.5,1500000US261635673004
44.6,36.8,48.6,1500000US261635673005
42.8,35.7,49.1,1500000US261635674001
63.3,61.8,63.5,1500000US261635674002
33.6,33.2,41.7,1500000US261635678001
48.5,49.6,46.6,1500000US261635678002
34.3,34.1,34.5,1500000US261635678003
51.9,51.4,52.5,1500000US261635678004
41.6,36,43.3,1500000US261635679001
52.5,52.2,52.7,1500000US261635679002
38.1,35.7,42.6,1500000US261635679003
67.8,56.5,71.8,1500000US261635680001
39.9,39.6,43.1,1500000US261635680002
39.5,39,43.9,1500000US261635682001
44.8,46.1,42.2,1500000US261635682002
36.3,35.5,37.1,1500000US261635682003
53.3,38.1,53.6,1500000US261635683001
40.8,40.6,42.1,1500000US261635683002
34.2,29.1,39.3,1500000US261635683003
42.4,45.2,42,1500000US261635683004
47.2,48.9,43.6,1500000US261635684001
32.4,37.2,24.8,1500000US261635684002
44.8,30.5,50.6,1500000US261635684003
43.9,43.6,48.3,1500000US261635684004
28.8,21.7,32.4,1500000US261635685001
31.6,31.7,31.5,1500000US261635685002
38.7,39,33.1,1500000US261635685003
46.3,30.7,46.6,1500000US261635685004
46.9,40.5,49,1500000US261635687001
40.9,27.7,41.7,1500000US261635687002
42.4,42.4,42.5,1500000US261635687003
30.8,30.4,39.1,1500000US261635687004
49.4,51.3,49.3,1500000US261635688001
29.6,28.9,29.9,1500000US261635688002
42,35.9,52.4,1500000US261635689001
58,54.7,59.5,1500000US261635689002
38,33.9,41,1500000US261635691001
38.4,41,34.5,1500000US261635691002
40.5,41.7,32.8,1500000US261635692001
40.5,32.8,40.8,1500000US261635692002
47.4,45.4,47.6,1500000US261635692003
55.9,40,60.1,1500000US261635692004
48.8,49.3,48.3,1500000US261635693001
39.5,38.5,41.3,1500000US261635693002
44.8,44.3,49.5,1500000US261635694001
53.2,56.1,52.9,1500000US261635694002
39.9,33.2,43.8,1500000US261635694003
40.1,34.7,45.6,1500000US261635695001
42.2,41.4,47.1,1500000US261635695002
45.9,45.7,50,1500000US261635696001
42.7,42.4,43.2,1500000US261635696002
39.4,39.7,38.7,1500000US261635696003
27.8,27.6,28.1,1500000US261635696004
51.4,51.4,51.5,1500000US261635697001
29.3,32.4,28.2,1500000US261635697002
46.3,46.4,40.8,1500000US261635697003
40.6,38.7,43,1500000US261635697004
46.1,32.5,49.3,1500000US261635698001
40.9,48,38.5,1500000US261635698002
48.8,40.7,53.1,1500000US261635698003
33.8,33.1,41.1,1500000US261635699001
39.1,31.6,45.2,1500000US261635699002
43.5,48.7,42,1500000US261635701001
27.7,22.8,29.5,1500000US261635701002
26.1,25,26.1,1500000US261635701003
42.8,33.5,50,1500000US261635702001
28.4,27.6,28.7,1500000US261635702002
28.8,25.9,32.8,1500000US261635702003
54.9,58,54.1,1500000US261635704001
24.1,11.8,28.6,1500000US261635704002
28.4,22.7,30.1,1500000US261635704003
22.2,10.5,26,1500000US261635704004
30.7,30.2,39.4,1500000US261635704005
44.1,30.2,45.9,1500000US261635705001
29.4,26.3,30.3,1500000US261635705002
30.1,27.9,54,1500000US261635705003
36.8,42.7,33.2,1500000US261635705004
40.8,27.8,44.5,1500000US261635706001
18.5,13.8,24.9,1500000US261635706002
36.7,36.7,36.9,1500000US261635708001
27.7,23.3,30.4,1500000US261635708002
40.1,36.8,41.1,1500000US261635708003
43.9,41.5,47.8,1500000US261635709001
39.7,39.4,41.4,1500000US261635709002
48,44.8,48.4,1500000US261635709003
44.6,44.4,46.2,1500000US261635710001
50.6,48.7,55.5,1500000US261635710002
30.3,30,47.5,1500000US261635710003
26.9,10.5,34.9,1500000US261635710004
28.3,28.8,27.4,1500000US261635715001
31.7,31.1,33,1500000US261635715002
35,33.9,35.7,1500000US261635715003
31.6,40.5,27.2,1500000US261635715004
34.9,35.3,32,1500000US261635716001
29.6,20.9,32.9,1500000US261635717001
27.1,23.9,32.1,1500000US261635717002
31.5,36.6,28.9,1500000US261635718001
34.4,35.9,32.7,1500000US261635718002
54.9,50,55.9,1500000US261635718003
31.9,29.1,36.9,1500000US261635719001
48.4,48.4,48.3,1500000US261635719002
49.4,42.3,57.8,1500000US261635719003
34.4,35,33.3,1500000US261635720001
36.4,36.1,42.1,1500000US261635720002
52.6,58.7,50.4,1500000US261635721001
35.1,36.3,34.1,1500000US261635721002
46.4,41.4,48.6,1500000US261635721003
33.5,43.2,26.3,1500000US261635721004
52.6,58.7,39.6,1500000US261635721005
