Median age,Median age - Male,Median age - Female,id
43.7,50.8,41.6,1500000US261635068001
31.1,33.9,29.5,1500000US261635068002
42.8,41.1,47.3,1500000US261635068003
43.9,61,38.8,1500000US261635068004
28,27.4,35.9,1500000US261635069001
30.7,26.1,34.5,1500000US261635069002
41,27,54.6,1500000US261635069003
28,34.6,26.3,1500000US261635069004
41.1,36.9,43.9,1500000US261635069005
31.5,31.1,31.9,1500000US261635070001
26.9,26.6,32.3,1500000US261635070002
34.1,25.4,34.8,1500000US261635070003
50.7,42.8,53.4,1500000US261635071001
34.8,27.3,38.3,1500000US261635071002
29.8,29.2,61.2,1500000US261635071003
44.6,42.2,55.1,1500000US261635071004
42.4,56.1,36.7,1500000US261635072001
45.1,28.8,46.8,1500000US261635072002
38.5,24.6,49.3,1500000US261635073001
56,39.6,60.1,1500000US261635073002
43.3,23.8,50.3,1500000US261635073003
46.1,47,45.2,1500000US261635074001
46.7,38.1,47.9,1500000US261635074002
49.3,49.4,31,1500000US261635074003
29.3,59.4,29,1500000US261635074004
47.9,53.5,46.4,1500000US261635075001
39.7,31.8,40.6,1500000US261635075002
41.1,40.7,52.6,1500000US261635075003
41.1,21.4,44.7,1500000US261635078001
36.7,36.7,-,1500000US261635078002
35.7,35.5,37.6,1500000US261635079001
59.3,52.6,62,1500000US261635079002
28.9,26.1,38.9,1500000US261635079003
56.3,59.2,56,1500000US261635079004
23.9,43.8,20.6,1500000US261635080001
33.7,35.2,33.5,1500000US261635080002
53.5,53.8,49.9,1500000US261635081001
18.7,24.4,15.2,1500000US261635081002
40,42.3,31.3,1500000US261635081003
28.6,28.4,28.7,1500000US261635081004
33.4,31.3,54.6,1500000US261635081005
42.7,50.6,24.6,1500000US261635104001
48.8,48.9,-,1500000US261635104002
40.9,58.1,40.6,1500000US261635104003
32.7,36.7,17.8,1500000US261635105001
26,28.4,24.3,1500000US261635105002
23.5,16.5,34.9,1500000US261635105003
26.8,27.7,25.5,1500000US261635105004
28.1,28.1,26.9,1500000US261635106001
28.1,25.7,29.4,1500000US261635106002
25.4,23,25.8,1500000US261635106003
27.1,34.6,15.6,1500000US261635107001
24.9,25.8,22.3,1500000US261635107002
63.2,63.3,56.9,1500000US261635110001
30.7,17.2,40.6,1500000US261635110002
28.3,25.8,31.1,1500000US261635110003
33,36.3,32.4,1500000US261635110004
46.6,49.6,42.5,1500000US261635112001
30.5,19.5,30.6,1500000US261635112002
28.5,29.2,26.4,1500000US261635113001
28.5,28.8,25.1,1500000US261635113002
28.3,21.2,29.5,1500000US261635113003
24.6,23.8,24.8,1500000US261635114001
41.2,41.8,39.5,1500000US261635114002
36.8,37,31.9,1500000US261635114003
62.2,62.7,52.9,1500000US261635114004
52.2,60,44,1500000US261635114005
54.7,55.8,47.7,1500000US261635119001
29,27.2,29.7,1500000US261635119002
25.4,25.1,42.2,1500000US261635121001
37.7,29.5,40.3,1500000US261635121002
38.4,38.7,31.8,1500000US261635121003
35.5,30.1,62.1,1500000US261635121004
43.7,43.5,53.7,1500000US261635121005
24.6,18.2,30.9,1500000US261635122001
47.9,48.8,42.2,1500000US261635122002
39.8,38.2,49.5,1500000US261635123001
44,51.9,29.6,1500000US261635123002
43.6,40.3,47.3,1500000US261635124001
52.6,43.7,65.3,1500000US261635124002
33.9,35.3,33.4,1500000US261635124003
46,47.1,44.7,1500000US261635126001
25.2,17.3,25.5,1500000US261635126002
51.9,50.7,57.7,1500000US261635126003
51.1,45.3,52.1,1500000US261635126004
45,46.9,29.6,1500000US261635129001
24.5,10.2,27.6,1500000US261635129002
39.5,48.1,39.4,1500000US261635129003
35.4,36.8,34.3,1500000US261635132001
36.4,35.3,46.7,1500000US261635132002
41.3,21.4,51.3,1500000US261635132003
51,49,53.4,1500000US261635133001
44.4,43.1,50.1,1500000US261635133002
34.7,45.2,34.2,1500000US261635136001
33.8,43.3,28.6,1500000US261635136002
33.7,28.7,42.4,1500000US261635137001
57.4,61.7,55,1500000US261635137002
33.8,28.6,45.5,1500000US261635137003
7.1,7.3,6.8,1500000US261635139001
43.1,45.1,43.1,1500000US261635139002
48.1,48.2,46.8,1500000US261635139003
34.3,34.8,31.5,1500000US261635141001
28.8,35.1,27.5,1500000US261635141002
33.7,41.5,32.6,1500000US261635141003
25.1,25,25.2,1500000US261635141004
47.2,39.7,47.8,1500000US261635142001
53.2,48.8,55.4,1500000US261635142002
59.3,60.3,58.9,1500000US261635142003
59.1,38.4,59.7,1500000US261635142004
24.7,20,24.7,1500000US261635142005
51.6,50.7,52.4,1500000US261635143001
37.9,20.6,51.6,1500000US261635143002
39,41.3,33.7,1500000US261635143003
27.6,30.1,27.1,1500000US261635145001
46.9,50.7,46.1,1500000US261635145002
49.6,45.3,55.3,1500000US261635152001
48.7,51.8,37.3,1500000US261635152002
38.5,38.7,38.3,1500000US261635153001
57.8,60.9,57.1,1500000US261635153002
42.7,38.3,52.7,1500000US261635153003
41.8,37.4,45,1500000US261635154001
32.9,30.1,41.5,1500000US261635154002
42,43.2,40.9,1500000US261635156001
36.4,38.7,32.5,1500000US261635156002
62,59.3,62.8,1500000US261635157001
53.6,53.6,51,1500000US261635157002
44.4,40,44.5,1500000US261635159001
33.6,32.5,39.2,1500000US261635159002
44.6,55.9,22.9,1500000US261635159003
31.9,28.4,34.6,1500000US261635160001
41.1,23.9,41.3,1500000US261635160002
35.7,35,37.1,1500000US261635160003
46,53.1,45.7,1500000US261635160004
49.3,52.4,28.1,1500000US261635161001
43.3,26.4,53.1,1500000US261635161002
46.6,48.1,26.6,1500000US261635162001
26.3,27.5,24.7,1500000US261635162002
54.3,54.7,52,1500000US261635163001
41.5,42.2,33.9,1500000US261635164001
59.2,30.9,61.8,1500000US261635164002
36.8,37.6,34.2,1500000US261635165001
13.3,7.1,20,1500000US261635166001
49.4,53.1,46.6,1500000US261635166002
41.1,35.4,41.5,1500000US261635167001
59.1,45.3,61.6,1500000US261635167002
51.4,51.9,51.2,1500000US261635168001
28.9,28.9,27,1500000US261635168002
63.1,53.4,67.4,1500000US261635169001
34,33,39.4,1500000US261635170001
46.7,46.6,46.8,1500000US261635171001
31.2,32.2,30.8,1500000US261635172001
30.7,30.5,31.3,1500000US261635172002
30.7,33.2,29.6,1500000US261635173001
26.1,12.6,32.2,1500000US261635173002
47.1,45.8,58,1500000US261635175001
36.9,36.5,39.7,1500000US261635175002
34.5,28.5,55,1500000US261635175003
27.5,27.3,27.8,1500000US261635180001
45.9,44.3,46.8,1500000US261635180002
57.3,57.9,52.6,1500000US261635184001
41.6,40.3,65.2,1500000US261635184002
59.3,54.5,66.1,1500000US261635185001
46.3,47.9,38.4,1500000US261635185002
56,54.1,62.7,1500000US261635186001
60.4,54.4,61.4,1500000US261635186002
61.1,52.7,61.7,1500000US261635188001
30.8,46,30.1,1500000US261635188002
32.6,29.5,38.9,1500000US261635189001
25.2,27,22.7,1500000US261635202001
19.1,19.6,18.9,1500000US261635202002
25.5,26.2,24.9,1500000US261635203001
32.5,34.2,26.3,1500000US261635203002
27.7,25.6,28.4,1500000US261635204001
28.2,30.8,26,1500000US261635207001
31.3,30.4,32.9,1500000US261635207002
45.6,36.4,48.9,1500000US261635208001
49.4,52.9,45.6,1500000US261635211001
32.5,32.8,31.7,1500000US261635211002
38.2,35.4,42.4,1500000US261635213001
30.7,33.8,29.7,1500000US261635214001
55.6,58.3,39.5,1500000US261635215001
24.2,22.6,26.8,1500000US261635215002
43.8,42.7,44.5,1500000US261635218001
28.7,28.9,28.4,1500000US261635219001
26.8,13.8,33.5,1500000US261635219002
33.5,27.4,47.8,1500000US261635219003
32.7,34.4,31.5,1500000US261635220001
62.6,63.1,62.5,1500000US261635221001
39.2,39.1,44.1,1500000US261635221002
43.5,48.5,40.8,1500000US261635222001
53.1,51,61.6,1500000US261635222002
41.2,41.4,37.9,1500000US261635223001
33.4,28.2,39.1,1500000US261635223002
35.6,53.7,35.5,1500000US261635224001
27.1,25.3,27.6,1500000US261635224002
29.2,27.7,29.3,1500000US261635225001
59.1,60.3,49.6,1500000US261635225002
47,46.8,47.2,1500000US261635225003
30.2,26.4,33.7,1500000US261635231001
31.7,32.6,28.3,1500000US261635232001
26.5,20,28.9,1500000US261635232002
31.2,20.7,40.1,1500000US261635233001
23.2,28.3,17.5,1500000US261635233002
25.9,25.8,25.9,1500000US261635233003
51.9,52.5,51.5,1500000US261635234001
41.3,45,37,1500000US261635234002
29.7,30.3,29.4,1500000US261635238001
31.7,37.3,17.2,1500000US261635238002
27.9,29.1,21.9,1500000US261635238003
27.2,29.4,21.2,1500000US261635238004
25,24.1,30.2,1500000US261635240001
39.3,39.1,45.7,1500000US261635240002
30.3,28.3,31.9,1500000US261635240003
34.1,32.8,34.7,1500000US261635241001
21.3,16.8,26.5,1500000US261635241002
44.6,49.4,31,1500000US261635241003
25.9,20.2,31.1,1500000US261635241004
17.6,19.2,17.6,1500000US261635242001
32.4,32.6,32.2,1500000US261635242002
